source_id,provider,source_url,record_count,retrieved_at,license_review_required
SRC-0001,101hotels.com,https://101hotels.com/uzbekistan/tashkent/apart,2,2026-07-19,Проверить
SRC-0002,101hotels.com,https://101hotels.com/uzbekistan/tashkent/district/mirabadsky_rayon,1,2026-07-19,Проверить
SRC-0003,2GIS,,103,2026-07-19,Да
SRC-0004,2GIS,https://2gis.uz/tashkent/branches/70000001036339557,1,2026-07-19,Да
SRC-0005,2GIS,https://2gis.uz/tashkent/branches/70000001036389367,1,2026-07-19,Да
SRC-0006,2GIS,https://2gis.uz/tashkent/branches/70000001036389370,1,2026-07-19,Да
SRC-0007,2GIS,https://2gis.uz/tashkent/branches/70000001036447830,1,2026-07-19,Да
SRC-0008,2GIS,https://2gis.uz/tashkent/branches/70000001036467640,1,2026-07-19,Да
SRC-0009,2GIS,https://2gis.uz/tashkent/branches/70000001036591390,1,2026-07-19,Да
SRC-0010,2GIS,https://2gis.uz/tashkent/branches/70000001067353346,1,2026-07-19,Да
SRC-0011,2GIS,https://2gis.uz/tashkent/branches/70000001082474421,1,2026-07-19,Да
SRC-0012,2GIS,https://2gis.uz/tashkent/branches/70000001097171146,1,2026-07-19,Да
SRC-0013,2GIS,https://2gis.uz/tashkent/branches/70000001112410666,1,2026-07-19,Да
SRC-0014,2GIS,https://2gis.uz/tashkent/firm/70000001036722997,1,2026-07-19,Да
SRC-0015,2GIS,https://2gis.uz/tashkent/firm/70000001036776206,1,2026-07-19,Да
SRC-0016,2GIS,https://2gis.uz/tashkent/firm/70000001036824728,1,2026-07-19,Да
SRC-0017,2GIS,https://2gis.uz/tashkent/firm/70000001037129533,1,2026-07-19,Да
SRC-0018,2GIS,https://2gis.uz/tashkent/firm/70000001037129998,1,2026-07-19,Да
SRC-0019,2GIS,https://2gis.uz/tashkent/firm/70000001037238756,1,2026-07-19,Да
SRC-0020,2GIS,https://2gis.uz/tashkent/firm/70000001037878249,1,2026-07-19,Да
SRC-0021,2GIS,https://2gis.uz/tashkent/firm/70000001038051332,1,2026-07-19,Да
SRC-0022,2GIS,https://2gis.uz/tashkent/firm/70000001038176252,1,2026-07-19,Да
SRC-0023,2GIS,https://2gis.uz/tashkent/firm/70000001038443805,1,2026-07-19,Да
SRC-0024,2GIS,https://2gis.uz/tashkent/firm/70000001039979374,1,2026-07-19,Да
SRC-0025,2GIS,https://2gis.uz/tashkent/firm/70000001044930229,1,2026-07-19,Да
SRC-0026,2GIS,https://2gis.uz/tashkent/firm/70000001046538505,1,2026-07-19,Да
SRC-0027,2GIS,https://2gis.uz/tashkent/firm/70000001049186178,1,2026-07-19,Да
SRC-0028,2GIS,https://2gis.uz/tashkent/firm/70000001049189620,1,2026-07-19,Да
SRC-0029,2GIS,https://2gis.uz/tashkent/firm/70000001051325444,1,2026-07-19,Да
SRC-0030,2GIS,https://2gis.uz/tashkent/firm/70000001067871608,1,2026-07-19,Да
SRC-0031,2GIS,https://2gis.uz/tashkent/firm/70000001068898960,1,2026-07-19,Да
SRC-0032,2GIS,https://2gis.uz/tashkent/firm/70000001075023555,1,2026-07-19,Да
SRC-0033,2GIS,https://2gis.uz/tashkent/firm/70000001075784334,1,2026-07-19,Да
SRC-0034,2GIS,https://2gis.uz/tashkent/firm/70000001084203017,1,2026-07-19,Да
SRC-0035,2GIS,https://2gis.uz/tashkent/firm/70000001084431662,1,2026-07-19,Да
SRC-0036,2GIS,https://2gis.uz/tashkent/firm/70000001087816862,1,2026-07-19,Да
SRC-0037,2GIS,https://2gis.uz/tashkent/firm/70000001096959290,1,2026-07-19,Да
SRC-0038,2GIS,https://2gis.uz/tashkent/firm/70000001097834818,1,2026-07-19,Да
SRC-0039,2GIS,https://2gis.uz/tashkent/firm/70000001109526435,1,2026-07-19,Да
SRC-0040,2GIS,https://2gis.uz/tashkent/firm/70000001112713831,1,2026-07-19,Да
SRC-0041,2GIS,https://2gis.uz/tashkent/search/%D0%90%D0%BD%D1%85%D0%BE%D1%80%20%D0%BB%D0%B0%D0%B7%D0%B5%D1%80%D1%82%D0%B0%D0%B3,1,2026-07-19,Да
SRC-0042,2GIS,https://2gis.uz/tashkent/search/%D0%9E%D1%82%D0%B5%D0%BB%D0%B8%20%D0%A2%D0%B0%D1%88%D0%BA%D0%B5%D0%BD%D1%82%D0%B0,1,2026-07-19,Да
SRC-0043,2GIS,https://2gis.uz/tashkent/search/%D0%9F%D0%B0%D1%80%D0%BA%D0%B5%D0%BD%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D1%80%D1%8B%D0%BD%D0%BE%D0%BA,1,2026-07-19,Да
SRC-0044,2GIS,https://2gis.uz/tashkent/search/%D0%A3%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D1%8B%20%D1%87%D0%B0%D1%81%D1%82%D0%BD%D1%8B%D0%B5,4,2026-07-19,Да
SRC-0045,2GIS,https://2gis.uz/tashkent/search/%D0%A4%D0%B0%D1%81%D1%82%20%D1%84%D1%83%D0%B4%20%D1%82%D0%B0%D1%88%D0%BA%D0%B5%D0%BD%D1%82%20%D1%81%D0%B8%D1%82%D0%B8%20%D0%BC%D0%BE%D0%BB,1,2026-07-19,Да
SRC-0046,2GIS,https://2gis.uz/tashkent/search/Qahva%2C%20%D1%82%D0%BE%D1%87%D0%BA%D0%B0%20%D0%BA%D0%BE%D1%84%D0%B5,1,2026-07-19,Да
SRC-0047,2GIS,https://2gis.uz/tashkent/search/Жилые%20комплексы,4,2026-07-19,Да
SRC-0048,GoldenPages,,26,2026-07-19,Проверить
SRC-0049,GoldenPages,https://www.goldenpages.uz/en/company/?Id=100247,1,2026-07-19,Проверить
SRC-0050,GoldenPages,https://www.goldenpages.uz/en/company/?Id=100444,1,2026-07-19,Проверить
SRC-0051,GoldenPages,https://www.goldenpages.uz/en/company/?Id=100632,1,2026-07-19,Проверить
SRC-0052,GoldenPages,https://www.goldenpages.uz/en/company/?Id=100709,1,2026-07-19,Проверить
SRC-0053,GoldenPages,https://www.goldenpages.uz/en/company/?Id=100756,1,2026-07-19,Проверить
SRC-0054,GoldenPages,https://www.goldenpages.uz/en/company/?Id=101146,1,2026-07-19,Проверить
