soato_district,kadastr_prefix,name_soato_layer,name_kadastr_layer,type
1703202,17:09,Oltinko'l tumani,Oltinko'l tumani,rural
1703203,17:01,Andijon tumani,Andijon tumani,rural
1703206,17:03,Baliqchi tumani,Baliqchi tumani,rural
1703209,17:05,Bo'ston tumani,Bo'ston tumani,rural
1703210,17:04,Buloqboshi tumani,Buloqboshi tumani,rural
1703211,17:06,Jalaquduq tumani,Jalaquduq tumani,rural
1703214,17:07,Izboskan tumani,Izboskan tumani,rural
1703217,17:11,Ulug'nor tumani,Ulug'nor tumani,rural
1703220,17:14,Qo'rg'ontepa tumani,Qo'rg'ontepa tumani,rural
1703224,17:02,Asaka tumani,Asaka tumani,rural
1703227,17:08,Marxamat tumani,Marhamat tumani,rural
1703230,17:13,Shaxrixon tumani,Shaxrixon tumani,rural
1703232,17:10,Paxtaobod tumani,Paxtaobod tumani,rural
1703236,17:12,Xo'jaobod tumani,Xo'jaobod tumani,rural
1703401,17:15,Andijon shahar,Andijon shahri,city
1703408,17:17,Xonobod shahar,Xonobod shahri,city
1706204,20:05,Olot tumani,Olot tumani,rural
1706207,20:01,Buxoro tumani,Buxoro tumani,rural
1706212,20:02,Vobkent tumani,Vobkent tumani,rural
1706215,20:11,G'ijduvon tumani,G'ijduvon tumani,rural
1706219,20:04,Kogon tumani,Kogon tumani,rural
1706230,20:10,Qorako'l tumani,Qorako'l tumani,rural
1706232,20:09,Qorovulbozor tumani,Qorovulbozor tumani,rural
1706240,20:06,Peshku tumani,Peshku tumani,rural
1706242,20:07,Romitan tumani,Romitan tumani,rural
1706246,20:03,Jondor tumani,Jondor tumani,rural
1706258,20:08,Shofirkon tumani,Shofirkon tumani,rural
1706401,20:12,Buxoro shahar,Buxoro shahri,city
1706403,20:14,Kogon shahar,Kogon shahri,city
1708201,13:01,Arnasoy tumani,Arnasoy tumani,rural
1708204,13:02,Baxmal tumani,Baxmal tumani,rural
1708209,13:03,G'allaorol tumani,G'allaorol tumani,rural
1708212,13:04,Sharof Rashidov tumani,Sharof Rashidov tumani,rural
1708215,13:05,Do'stlik tumani,Do'stlik tumani,rural
1708218,13:08,Zomin tumani,Zomin tumani,rural
1708220,13:06,Zarbdor tumani,Zarbdor tumani,rural
1708223,13:09,Mirzacho'l tumani,Mirzacho'l tumani,rural
1708225,13:07,Zafarobod tumani,Zafarobod tumani,rural
1708228,13:10,Paxtakor tumani,Paxtakor tumani,rural
1708235,13:11,Forish tumani,Forish tumani,rural
1708237,13:12,Yangiobod tumani,Yangiobod tumani,rural
1708401,13:13,Jizzax shahri,Jizzax shahri,city
1710207,18:14,G'uzor tumani,G'uzor tumani,rural
1710212,18:02,Dehqonobod tumani,Dehqonobod tumani,rural
1710220,18:12,Qamashi tumani,Qamashi tumani,rural
1710224,18:13,Qarshi tumani,Qarshi tumani,rural
1710229,18:05,Koson tumani,Koson tumani,rural
1710232,18:04,Kitob tumani,Kitob tumani,rural
1710233,18:01,Mirishkor tumani,Mirishkor tumani,rural
1710234,18:06,Muborak tumani,Muborak tumani,rural
1710235,18:07,Nishon tumani,Nishon tumani,rural
1710237,18:03,Kasbi tumani,Kasbi tumani,rural
1710240,18:08,Ko'kdala tumani,Ko'kdala tumani,rural
1710242,18:09,Chiroqchi tumani,Chiroqchi tumani,rural
1710245,18:10,Shahrisabz tumani,Shahrisabz tumani,rural
1710250,18:11,Yakkabog' tumani,Yakkabog' tumani,rural
1710401,18:15,Qarshi,Qarshi shahri,city
1710405,18:16,Shahrisabz,Shahrisabz shahri,city
1712211,21:01,Konimex tumani,Konimex tumani,rural
1712216,21:08,Qiziltepa tumani,Qiziltepa tumani,rural
1712230,21:02,Navbahor tumani,Navbahor tumani,rural
1712234,21:03,Karmana tumani,Karmana tumani,rural
1712238,21:04,Nurota tumani,Nurota tumani,rural
1712244,21:05,Tomdi tumani,Tomdi tumani,rural
1712248,21:11,Uchquduq tumani,Uchquduq tumani,rural
1712251,21:07,Xatirchi tumani,Xatirchi tumani,rural
1712401,21:09,Navoiy shahar,Navoiy shahri,city
1712408,21:10,Zarafshon shahri,Zarafshon shahri,city
1712412,21:12,G'ozg'on shahri,G'ozg'on shahri,city
1714204,16:02,Mingbuloq tumani,Mingbuloq tumani,rural
1714207,16:01,Kosonsoy tumani,Kosonsoy tumani,rural
1714212,16:03,Namangan tumani,Namangan tumani,rural
1714216,16:04,Norin tumani,Norin tumani,rural
1714219,16:05,Pop tumani,Pop tumani,rural
1714224,16:06,To'raqo'rg'on tumani,To'raqo'rg'on tumani,rural
1714229,16:07,Uychi tumani,Uychi tumani,rural
1714234,16:08,Uchqo'rg'on tumani,Uchqo'rg'on tumani,rural
1714236,16:09,Chortoq tumani,Chortoq tumani,rural
1714237,16:10,Chust tumani,Chust tumani,rural
1714242,16:11,Yangiqo'rg'on tumani,Yangiqo'rg'on tumani,rural
1714401,16:12,Namangan shahri,Namangan shahri,city
1718203,14:08,Oqdaryo tumani,Oqdaryo tumani,rural
1718206,14:01,Bulung'ur tumani,Bulung'ur tumani,rural
1718209,14:02,Jomboy tumani,Jomboy tumani,rural
1718212,14:03,Ishtixon tumani,Ishtixon tumani,rural
1718215,14:05,Kattaqo'rg'on tumani,Kattaqo'rg'on tumani,rural
