kadastr_prefix,region_name_uz,district_name_uz,area_m2
10:01,Toshkent shahri,Uchtepa tumani,49741712
10:02,Toshkent shahri,Bektemir tumani,57685683
10:03,Toshkent shahri,Chilonzor tumani,53999145
10:04,Toshkent shahri,Yashnobod tumani,104369558
10:05,Toshkent shahri,Yakkasaroy tumani,25259115
10:06,Toshkent shahri,Sirg'ali tumani,92173844
10:07,Toshkent shahri,Yunusobod tumani,72961507
10:08,Toshkent shahri,Olmazor tumani,60030915
10:09,Toshkent shahri,Mirzo ulug'bek tumani,105505629
10:10,Toshkent shahri,Shayxontohur tumani,48105510
10:11,Toshkent shahri,Mirobod tumani,29295448
10:12,Toshkent shahri,Yangihayot tumani,78182641
11:01,Toshkent viloyati,Bekobod tumani,1295981434
11:02,Toshkent viloyati,Bo'ka tumani,1030665642
11:03,Toshkent viloyati,Bo'stonliq tumani,8847471560
11:04,Toshkent viloyati,Zangiota tumani,342770642
11:05,Toshkent viloyati,Qibray tumani,840650997
11:06,Toshkent viloyati,Quyichirchiq tumani,998680583
11:07,Toshkent viloyati,Oqqo'rg'on tumani,714032285
11:08,Toshkent viloyati,Ohangaron tumani,5447268623
11:09,Toshkent viloyati,Parkent tumani,1967715431
11:10,Toshkent viloyati,Pskent tumani,1319215934
11:11,Toshkent viloyati,Toshkent tumani,287228237
11:12,Toshkent viloyati,O'rtachirchiq tumani,753133747
11:13,Toshkent viloyati,Chinoz tumani,593208280
11:14,Toshkent viloyati,Yuqorichirchiq tumani,790157264
11:15,Toshkent viloyati,Yangiyo'l tumani,717040904
11:16,Toshkent viloyati,Angren shahri,289084570
11:17,Toshkent viloyati,Bekobod shahri,59892838
11:18,Toshkent viloyati,Olmaliq shahri,232050499
11:19,Toshkent viloyati,Ohangaron shahri,31733750
11:20,Toshkent viloyati,Chirchiq shahri,78315048
11:21,Toshkent viloyati,Nurafshon shahri,61649098
11:22,Toshkent viloyati,Yangiyo'l shahri,26331002
12:01,Sirdaryo viloyati,Boyovut tumani,901425980
12:02,Sirdaryo viloyati,Guliston tumani,601532855
12:03,Sirdaryo viloyati,Mirzaobod tumani,1162688703
12:04,Sirdaryo viloyati,Oqoltin tumani,861158895
12:05,Sirdaryo viloyati,Sardoba tumani,978678249
12:06,Sirdaryo viloyati,Sayxunobod tumani,784534830
12:07,Sirdaryo viloyati,Sirdaryo tumani,925851789
12:08,Sirdaryo viloyati,Xovos tumani,983006465
12:09,Sirdaryo viloyati,Shirin shahri,32571109
12:10,Sirdaryo viloyati,Guliston shahri,70705756
12:11,Sirdaryo viloyati,Yangiyer shahri,50776933
13:01,Jizzax viloyati,Arnasoy tumani,854768323
13:02,Jizzax viloyati,Baxmal tumani,3146487187
13:03,Jizzax viloyati,G'allaorol tumani,3353892410
13:04,Jizzax viloyati,Sharof Rashidov tumani,2235674719
13:05,Jizzax viloyati,Do'stlik tumani,781669338
13:06,Jizzax viloyati,Zarbdor tumani,1302686968
13:07,Jizzax viloyati,Zafarobod tumani,924992451
13:08,Jizzax viloyati,Zomin tumani,4439431712
13:09,Jizzax viloyati,Mirzacho'l tumani,873438581
13:10,Jizzax viloyati,Paxtakor tumani,648939196
13:11,Jizzax viloyati,Forish tumani,16234363245
13:12,Jizzax viloyati,Yangiobod tumani,1249606447
13:13,Jizzax viloyati,Jizzax shahri,179518042
14:01,Samarqand viloyati,Bulung'ur tumani,1300542077
14:02,Samarqand viloyati,Jomboy tumani,930784890
14:03,Samarqand viloyati,Ishtixon tumani,1225839541
