soato_district,soato_region,district_name_uz,region_name_uz,mahalla_count
1703202,1703,Oltinko'l tumani,Andijon viloyati,23
1703203,1703,Andijon tumani,Andijon viloyati,22
1703206,1703,Baliqchi tumani,Andijon viloyati,26
1703209,1703,Bo'ston tumani,Andijon viloyati,14
1703210,1703,Buloqboshi tumani,Andijon viloyati,21
1703211,1703,Jalaquduq tumani,Andijon viloyati,46
1703214,1703,Izboskan tumani,Andijon viloyati,27
1703217,1703,Ulug'nor tumani,Andijon viloyati,9
1703220,1703,Qo'rg'ontepa tumani,Andijon viloyati,24
1703224,1703,Asaka tumani,Andijon viloyati,40
1703227,1703,Marxamat tumani,Andijon viloyati,19
1703230,1703,Shaxrixon tumani,Andijon viloyati,30
1703232,1703,Paxtaobod tumani,Andijon viloyati,27
1703236,1703,Xo'jaobod tumani,Andijon viloyati,16
1703401,1703,Andijon shahar,Andijon viloyati,55
1703408,1703,Xonobod shahar,Andijon viloyati,7
1706204,1706,Olot tumani,Buxoro viloyati,13
1706207,1706,Buxoro tumani,Buxoro viloyati,16
1706212,1706,Vobkent tumani,Buxoro viloyati,15
1706215,1706,G'ijduvon tumani,Buxoro viloyati,27
1706219,1706,Kogon tumani,Buxoro viloyati,8
1706230,1706,Qorako'l tumani,Buxoro viloyati,12
1706232,1706,Qorovulbozor tumani,Buxoro viloyati,7
1706240,1706,Peshku tumani,Buxoro viloyati,10
1706242,1706,Romitan tumani,Buxoro viloyati,16
1706246,1706,Jondor tumani,Buxoro viloyati,14
1706258,1706,Shofirkon tumani,Buxoro viloyati,10
1706401,1706,Buxoro shahar,Buxoro viloyati,57
1706403,1706,Kogon shahar,Buxoro viloyati,13
1708201,1708,Arnasoy tumani,Jizzax viloyati,12
1708204,1708,Baxmal tumani,Jizzax viloyati,20
1708209,1708,G'allaorol tumani,Jizzax viloyati,14
1708212,1708,Sharof Rashidov tumani,Jizzax viloyati,13
1708215,1708,Do'stlik tumani,Jizzax viloyati,10
1708218,1708,Zomin tumani,Jizzax viloyati,15
1708220,1708,Zarbdor tumani,Jizzax viloyati,24
1708223,1708,Mirzacho'l tumani,Jizzax viloyati,12
1708225,1708,Zafarobod tumani,Jizzax viloyati,7
1708228,1708,Paxtakor tumani,Jizzax viloyati,9
1708235,1708,Forish tumani,Jizzax viloyati,9
1708237,1708,Yangiobod tumani,Jizzax viloyati,5
1708401,1708,Jizzax shahri,Jizzax viloyati,23
1710207,1710,G'uzor tumani,Qashqadaryo viloyati,36
1710212,1710,Dehqonobod tumani,Qashqadaryo viloyati,13
1710220,1710,Qamashi tumani,Qashqadaryo viloyati,14
1710224,1710,Qarshi tumani,Qashqadaryo viloyati,28
1710229,1710,Koson tumani,Qashqadaryo viloyati,18
1710232,1710,Kitob tumani,Qashqadaryo viloyati,14
1710233,1710,Mirishkor tumani,Qashqadaryo viloyati,40
1710234,1710,Muborak tumani,Qashqadaryo viloyati,25
1710235,1710,Nishon tumani,Qashqadaryo viloyati,33
1710237,1710,Kasbi tumani,Qashqadaryo viloyati,13
1710240,1710,Ko'kdala tumani,Qashqadaryo viloyati,11
1710242,1710,Chiroqchi tumani,Qashqadaryo viloyati,56
1710245,1710,Shahrisabz tumani,Qashqadaryo viloyati,20
1710250,1710,Yakkabog' tumani,Qashqadaryo viloyati,23
1710401,1710,Qarshi,Qashqadaryo viloyati,52
1710405,1710,Shahrisabz,Qashqadaryo viloyati,20
1712211,1712,Konimex tumani,Navoiy viloyati,7
1712216,1712,Qiziltepa tumani,Navoiy viloyati,18
1712230,1712,Navbahor tumani,Navoiy viloyati,13
1712234,1712,Karmana tumani,Navoiy viloyati,17
1712238,1712,Nurota tumani,Navoiy viloyati,13
1712244,1712,Tomdi tumani,Navoiy viloyati,7
1712248,1712,Uchquduq tumani,Navoiy viloyati,14
1712251,1712,Xatirchi tumani,Navoiy viloyati,19
1712401,1712,Navoiy shahar,Navoiy viloyati,35
1712408,1712,Zarafshon,Navoiy viloyati,12
1712408,1712,Zarafshon shahri,Navoiy viloyati,1
1712412,1712,G'ozg'on shahri,Navoiy viloyati,4
1714204,1714,Mingbuloq tumani,Namangan viloyati,21
1714207,1714,Kosonsoy tumani,Namangan viloyati,26
1714212,1714,Namangan tumani,Namangan viloyati,26
1714216,1714,Norin tumani,Namangan viloyati,28
1714219,1714,Pop tumani,Namangan viloyati,42
1714224,1714,To'raqo'rg'on tumani,Namangan viloyati,30
1714229,1714,Uychi tumani,Namangan viloyati,24
1714234,1714,Uchqo'rg'on tumani,Namangan viloyati,36
1714236,1714,Chortoq tumani,Namangan viloyati,24
1714237,1714,Chust tumani,Namangan viloyati,29
1714242,1714,Yangiqo'rg'on tumani,Namangan viloyati,30
1714401,1714,Namangan shahri,Namangan viloyati,62
1718203,1718,Oqdaryo tumani,Samarqand viloyati,35
1718206,1718,Bulung'ur tumani,Samarqand viloyati,14
1718209,1718,Jomboy tumani,Samarqand viloyati,11
1718212,1718,Ishtixon tumani,Samarqand viloyati,12
1718215,1718,Kattaqo'rg'on tumani,Samarqand viloyati,14
1718216,1718,Qo'shrabot tumani,Samarqand viloyati,11
1718218,1718,Narpay tumani,Samarqand viloyati,16
1718224,1718,Payariq tumani,Samarqand viloyati,18
1718227,1718,Pastdarg'om tumani,Samarqand viloyati,33
1718230,1718,Paxtachi tumani,Samarqand viloyati,15
1718233,1718,Samarqand tumani,Samarqand viloyati,18
1718235,1718,Nurobod tumani,Samarqand viloyati,10
1718236,1718,Urgut tumani,Samarqand viloyati,28
1718238,1718,Tayloq tumani,Samarqand viloyati,20
1718401,1718,Samarqand,Samarqand viloyati,79
1718406,1718,Kattaqo'rg'on,Samarqand viloyati,10
1722201,1722,Oltinsoy tumani,Surxondaryo viloyati,16
1722202,1722,Angor tumani,Surxondaryo viloyati,13
1722203,1722,Bandixon tumani,Surxondaryo viloyati,10
1722204,1722,Boysun tumani,Surxondaryo viloyati,10
1722207,1722,Muzrabot tumani,Surxondaryo viloyati,11
1722210,1722,Denov tumani,Surxondaryo viloyati,36
1722212,1722,Jarqo'rg'on tumani,Surxondaryo viloyati,27
1722214,1722,Qumqo'rg'on tumani,Surxondaryo viloyati,19
1722215,1722,Qiziriq tumani,Surxondaryo viloyati,13
1722217,1722,Sariosiyo tumani,Surxondaryo viloyati,20
1722220,1722,Termiz tumani,Surxondaryo viloyati,10
1722221,1722,Uzun tumani,Surxondaryo viloyati,18
1722223,1722,Sherobod tumani,Surxondaryo viloyati,18
1722226,1722,Sho'rchi tumani,Surxondaryo viloyati,23
1722401,1722,Termiz,Surxondaryo viloyati,29
1724206,1724,Oqoltin tumani,Sirdaryo viloyati,11
1724212,1724,Boyovut tumani,Sirdaryo viloyati,14
1724216,1724,Sayxunobod tumani,Sirdaryo viloyati,10
1724220,1724,Guliston tumani,Sirdaryo viloyati,16
1724226,1724,Sardoba tumani,Sirdaryo viloyati,15
1724228,1724,Mirzaobod tumani,Sirdaryo viloyati,12
1724231,1724,Sirdaryo tumani,Sirdaryo viloyati,15
1724235,1724,Xovos tumani,Sirdaryo viloyati,20
1724401,1724,Guliston,Sirdaryo viloyati,20
1724410,1724,Shirin,Sirdaryo viloyati,6
1724413,1724,Yangiyer,Sirdaryo viloyati,12
1726262,1726,Uchtepa tumani,Toshkent shahri,43
1726264,1726,Bektemir tumani,Toshkent shahri,13
1726266,1726,Yunusobod tumani,Toshkent shahri,40
1726269,1726,Mirzo ulug'bek tumani,Toshkent shahri,53
1726273,1726,Mirobod tumani,Toshkent shahri,30
1726277,1726,Shayxontohur tumani,Toshkent shahri,20
1726280,1726,Olmazor tumani,Toshkent shahri,32
1726283,1726,Sirg'ali tumani,Toshkent shahri,39
1726287,1726,Yakkasaroy tumani,Toshkent shahri,16
1726290,1726,Yashnobod tumani,Toshkent shahri,55
1726292,1726,Yangihayot tumani,Toshkent shahri,29
1726294,1726,Chilonzor tumani,Toshkent shahri,32
1727206,1727,Oqqo'rg'on tumani,Toshkent viloyati,12
1727212,1727,Ohangaron tumani,Toshkent viloyati,19
1727220,1727,Bekobod tumani,Toshkent viloyati,15
1727224,1727,Bo'stonliq tumani,Toshkent viloyati,26
1727228,1727,Bo'ka tumani,Toshkent viloyati,17
1727233,1727,Quyichirchiq tumani,Toshkent viloyati,13
1727237,1727,Zangiota tumani,Toshkent viloyati,46
1727239,1727,Yuqorichirchiq tumani,Toshkent viloyati,24
1727248,1727,Qibray tumani,Toshkent viloyati,29
1727249,1727,Parkent tumani,Toshkent viloyati,32
1727250,1727,Pskent tumani,Toshkent viloyati,17
1727253,1727,O'rtachirchiq tumani,Toshkent viloyati,38
1727256,1727,Chinoz tumani,Toshkent viloyati,27
1727259,1727,Yangiyo'l tumani,Toshkent viloyati,17
1727265,1727,Toshkent tumani,Toshkent viloyati,40
1727401,1727,Nurafshon,Toshkent viloyati,22
1727404,1727,Olmaliq,Toshkent viloyati,49
1727407,1727,Angren,Toshkent viloyati,34
1727413,1727,Bekobod,Toshkent viloyati,33
1727415,1727,Ohangaron,Toshkent viloyati,20
1727419,1727,Chirchiq,Toshkent viloyati,41
1727424,1727,Yangiyo'l,Toshkent viloyati,16
1730203,1730,Oltiariq tumani,Farg'ona viloyati,31
1730206,1730,Qo'shtepa tumani,Farg'ona viloyati,19
1730209,1730,Bog'dod tumani,Farg'ona viloyati,20
1730212,1730,Buvayda tumani,Farg'ona viloyati,22
1730215,1730,Beshariq tumani,Farg'ona viloyati,21
1730218,1730,Quva tumani,Farg'ona viloyati,24
1730221,1730,Uchko'prik tumani,Farg'ona viloyati,21
1730224,1730,Rishton tumani,Farg'ona viloyati,29
1730226,1730,So'x tumani,Farg'ona viloyati,20
1730227,1730,Toshloq tumani,Farg'ona viloyati,24
1730230,1730,O'zbekiston tumani,Farg'ona viloyati,30
1730233,1730,Farg'ona tumani,Farg'ona viloyati,27
1730236,1730,Dang'ara tumani,Farg'ona viloyati,26
1730238,1730,Furqat tumani,Farg'ona viloyati,17
1730242,1730,Yozyovon tumani,Farg'ona viloyati,17
1730401,1730,Farg'ona shahri,Farg'ona viloyati,43
1730405,1730,Qo'qon shahri,Farg'ona viloyati,28
1730408,1730,Quvasoy shahri,Farg'ona viloyati,20
1730412,1730,Marg'ilon shahar,Farg'ona viloyati,23
1733204,1733,Bog'ot tumani,Xorazm viloyati,16
1733208,1733,Gurlan tumani,Xorazm viloyati,31
1733212,1733,Qo'shko'pir tumani,Xorazm viloyati,22
1733217,1733,Urganch tumani,Xorazm viloyati,41
1733220,1733,Xazorasp tumani,Xorazm viloyati,28
1733221,1733,Tuproqqal'a tumani,Xorazm viloyati,12
1733223,1733,Xonqa tumani,Xorazm viloyati,23
1733226,1733,Xiva tumani,Xorazm viloyati,20
1733230,1733,Shovot tumani,Xorazm viloyati,30
1733233,1733,Yangiariq tumani,Xorazm viloyati,22
1733236,1733,Yangibozor tumani,Xorazm viloyati,18
1733401,1733,Urganch,Xorazm viloyati,35
1733406,1733,Xiva,Xorazm viloyati,10
1735204,1735,Amudaryo tumani,Qoraqalpog'iston respublikasi,49
1735207,1735,Beruniy tumani,Qoraqalpog'iston respublikasi,24
1735209,1735,Bo'zatov tumani,Qoraqalpog'iston respublikasi,3
1735211,1735,Qorao'zak tumani,Qoraqalpog'iston respublikasi,12
1735212,1735,Kegeyli tumani,Qoraqalpog'iston respublikasi,16
1735215,1735,Qo'ng'irot tumani,Qoraqalpog'iston respublikasi,35
1735218,1735,Qanliko'l tumani,Qoraqalpog'iston respublikasi,8
1735222,1735,Mo'ynoq tumani,Qoraqalpog'iston respublikasi,12
1735225,1735,Nukus tumani,Qoraqalpog'iston respublikasi,11
1735228,1735,Taxiatosh tumani,Qoraqalpog'iston respublikasi,14
1735230,1735,Taxtako'pir tumani,Qoraqalpog'iston respublikasi,17
1735233,1735,To'rtko'l tumani,Qoraqalpog'iston respublikasi,49
1735236,1735,Xo'jayli tumani,Qoraqalpog'iston respublikasi,15
1735240,1735,Chimboy tumani,Qoraqalpog'iston respublikasi,22
1735243,1735,Shumanay tumani,Qoraqalpog'iston respublikasi,11
1735250,1735,Ellikkala tumani,Qoraqalpog'iston respublikasi,40
1735401,1735,Nukus,Qoraqalpog'iston respublikasi,56
