dimension,value_uz,polygon_count
funksiya,Aholi_yashash_joyi,1533
funksiya,Aralash_foydalanish,1452
funksiya,Qizil_chiziqlar,587
funksiya,MTT_hududi,521
funksiya,Yashil_hudud,479
funksiya,Rivojlanish_hududi,478
funksiya,Suv_bo'ylari_va_havzalari,446
funksiya,Maktab_hududi,398
funksiya,Savdo_va_tijorat,317
funksiya,Universitet_institut_va_LITI_hududlari,160
funksiya,Transport_Aeroport,133
funksiya,Madaniy_ma'rifiy,131
funksiya,Ma'muriy_markazlar,118
funksiya,Sog'liqni_saqlash_muassasalari,118
funksiya,Poliklinika,111
funksiya,Ishbilarmonlik_markazi,102
funksiya,Maishiy_xizmat_ko'rsatish,97
funksiya,Qabriston,82
funksiya,Madaniy_meros_hududi,79
funksiya,Sport,67
funksiya,Texnologik_sanoat_hududlari,52
funksiya,Texnik_Infratuzilma_hududlari,41
funksiya,Transport_markazlari,24
funksiya,Harbiy_hudud,19
funksiya,Avtoturargoh,17
funksiya,Kocha_va_yollar,4
funksiya,Logistika_markazlari,3
strategiya,Konservatsiya,3490
strategiya,Rekonstruksiya,2745
strategiya,Renovatsiya,1334
