kadastr_prefix,soato_region,region_name_uz,area_m2,region_uuid
10,1726,Toshkent shahri,776835846,dc87ae7e-1ef8-4490-b7ab-f0debabea2cf
11,1727,Toshkent viloyati,26724045504,2278ca5b-37e1-4941-90fe-64c02a4aec86
12,1724,Sirdaryo viloyati,7352931617,bcc645ca-d074-45b2-b708-d5cc24882266
13,1708,Jizzax viloyati,36225475005,05a29bf5-6bac-4587-9e59-4dd4b74c2da5
14,1718,Samarqand viloyati,28548974640,f315ce8e-e0d8-483c-a77c-ef101cde7558
15,1730,Farg'ona viloyati,11652775283,e64d52af-da8b-4940-90a6-5992ec13fb99
16,1714,Namangan viloyati,13061808563,589dbea7-4c78-4ab0-966c-0bd9060ab234
17,1703,Andijon viloyati,7430167442,9c997825-c8b5-43cb-9368-bcbbbae414f3
18,1710,Qashqadaryo viloyati,47058703531,fb553960-1ba3-4955-8913-7fb4f2695a4b
19,1722,Surxondaryo viloyati,32483027809,a5e67b49-e11c-4485-bc6b-0f2df22164a4
20,1706,Buxoro viloyati,68736502408,82285677-cf96-47ac-bd5d-abbbf2611430
21,1712,Navoiy viloyati,200795000245,d3860410-25e2-4cf4-a8ca-81db2e345104
22,1733,Xorazm viloyati,11277408384,ffc4fe45-5d52-46ee-b8ef-2f44f80135cb
23,1735,Qoraqalpog'iston Respublikasi,315088177553,af3e9082-6613-4ed6-bafa-60e199cd3b96
