district_id,district_name_uz_latin,district_name_uz_cyrillic,district_name_ru,district_name_en,official_name,alternative_names,former_names,administrative_code,SOATO_code,SOATO_code_confidence,cadastre_code,parent_city,parent_city_SOATO,area_km2_official,area_km2_official_source,area_km2_official_confidence,area_km2_secondary,area_km2_secondary_confidence,sum_of_mahalla_areas_ha,population_total_persons,population_unit,population_reference_date,population_source_url,population_confidence,population_male,population_female,households,families,population_density_per_km2,number_of_mahallas,number_of_mahallas_source,district_center,hokimiyat_address,postcode,hokimiyat_url,date_established,latitude_centroid,longitude_centroid,official_boundary_available,boundary_source,boundary_source_url,boundary_date,legal_document_defining_boundary,legal_document_date,legal_document_url,geometry_available_in_this_file,boundary_status,last_verified_date,notes
UZ-TAS-BEKTEMIR,Bektemir,Бектемир,Бектемирский,Bektemir,Bektemir tumani,NULL,Narimanov (1981-1990),NULL,1726264,E,NULL,Toshkent shahri,1726,34.94,"gov.uz/oz/bektemir/pages/about (3,494.2 ha)",B,17.83,E,3260.6,73600,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,2106.5,18,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Husayn Boyqaro 2,111503,https://bektemir.tashkent.uz,1990-02-27,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,1290-IV / SQ-379-IV - change of borders with Yuqori Chirchiq and O'rtachirchiq,2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,NO,OFFICIAL (derived by dissolve),2026-09-18,NULL
UZ-TAS-CHILONZOR,Chilonzor,Чилонзор,Чиланзарский,Chilanzar,Chilonzor tumani,NULL,NULL,NULL,1726294,E,NULL,Toshkent shahri,1726,NULL,NULL,NULL,29.94,E,3055.08,277600,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,NULL,55,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Bunyodkor shoh ko'chasi 50,100035,https://chilonzor.tashkent.uz,1962-12-27,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,NOT ESTABLISHED for this district,NULL,https://lex.uz,NO,OFFICIAL (derived by dissolve),2026-09-18,No official area figure located; secondary figure is pre-2021 and understates the district
UZ-TAS-MIROBOD,Mirobod,Миробод,Мирабадский,Mirabad,Mirobod tumani,NULL,Temiryo'lchilar (1929); Lenin (1929-1992),NULL,1726273,E,NULL,Toshkent shahri,1726,NULL,NULL,NULL,17.1,E,1653.17,157500,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,NULL,39,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Nukus ko'chasi 18,100015,https://mirobod.tashkent.uz,1929-10-09,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,NOT ESTABLISHED for this district,NULL,https://lex.uz,NO,OFFICIAL (derived by dissolve),2026-09-18,No official area figure located; secondary figure is pre-2021 and understates the district
UZ-TAS-MIRZO-ULUGBEK,Mirzo Ulug'bek,Мирзо Улуғбек,Мирзо-Улугбекский,Mirzo Ulugbek,Mirzo Ulug'bek tumani,NULL,Proletar (1929-1935); Kuybishev (1935-1992),NULL,1726269,E,NULL,Toshkent shahri,1726,NULL,NULL,NULL,35.15,E,5939.66,345300,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,NULL,70,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Mustaqillik shoh ko'chasi 122,100000,https://mirzoulugbek.tashkent.uz,1929-11-29,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,1290-IV / SQ-379-IV - change of borders with Qibray,2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,NO,OFFICIAL (derived by dissolve),2026-09-18,No official area figure located; secondary figure is pre-2021 and understates the district
UZ-TAS-OLMAZOR,Olmazor,Олмазор,Алмазарский,Almazar,Olmazor tumani,NULL,Sobir Rahimov (1970-2010),NULL,1726280,E,NULL,Toshkent shahri,1726,NULL,NULL,NULL,34.5,E,3379.48,421300,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,NULL,64,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Kichik halqa aylanma yo'li 111,100111,https://olmazor.tashkent.uz,1970-12-07,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,NOT ESTABLISHED for this district,NULL,https://lex.uz,NO,OFFICIAL (derived by dissolve),2026-09-18,No official area figure located; secondary figure is pre-2021 and understates the district
UZ-TAS-SERGELI,Sergeli,Сергели,Сергелийский,Sergeli,Sergeli tumani,NULL,Sirg'ali (alt. spelling in SOATO register),NULL,1726283,E,NULL,Toshkent shahri,1726,52.18,"gov.uz/oz/sergeli/pages/about (5,218 ha)",B,NULL,NULL,4777.35,182500,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,3497.5,46,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Sug'diyona ko'chasi 1,100085,https://sergeli.tashkent.uz,1967-01-20,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,1290-IV / SQ-379-IV - change of borders of Zangiota (region) and Sergeli (city),2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,NO,OFFICIAL (derived by dissolve),2026-09-18,"Hokimiyat page states 'over 226,000' population - conflicts with statistics office; likely pre-dates the 2020 Yangihayot split"
UZ-TAS-SHAYXONTOHUR,Shayxontohur,Шайхонтоҳур,Шайхантахурский,Shaykhantahur,Shayxontohur tumani,NULL,Oktabr (1929-1992),NULL,1726277,E,NULL,Toshkent shahri,1726,27.3,"gov.uz/oz/shayxontohur/pages/about (2,730 ha)",B,NULL,NULL,2706.91,375000,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,13736.3,51,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Abdulla Qodiriy ko'chasi 7A,100128,https://shayxontohur.tashkent.uz,1929-11-29,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,NOT ESTABLISHED for this district,NULL,https://lex.uz,NO,OFFICIAL (derived by dissolve),2026-09-18,NULL
UZ-TAS-UCHTEPA,Uchtepa,Учтепа,Учтепинский,Uchtepa,Uchtepa tumani,NULL,Akmal Ikromov (1977-2005),NULL,1726262,E,NULL,Toshkent shahri,1726,28.08,gov.uz/oz/uchtepa/pages/about,B,NULL,NULL,NULL (incomplete - see notes),308100,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,10972.2,60,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Farhod ko'chasi 21,100126,https://uchtepa.tashkent.uz,1977-09-15,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,NOT ESTABLISHED for this district,NULL,https://lex.uz,NO,OFFICIAL (derived by dissolve),2026-09-18,60 mahalla area values are NULL in the source layer
UZ-TAS-YAKKASAROY,Yakkasaroy,Яккасарой,Яккасарайский,Yakkasaray,Yakkasaroy tumani,NULL,Frunze (1936-1992),NULL,1726287,E,NULL,Toshkent shahri,1726,NULL,NULL,NULL,14.6,E,1422.82,147000,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,NULL,21,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Bratislava ko'chasi 2,100031,https://yakkasaroy.tashkent.uz,1936-08-26,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,NOT ESTABLISHED for this district,NULL,https://lex.uz,NO,OFFICIAL (derived by dissolve),2026-09-18,No official area figure located; secondary figure is pre-2021 and understates the district
UZ-TAS-YANGIHAYOT,Yangihayot,Янгиҳаёт,Янгихаётский,Yangihayot,Yangihayot tumani,NULL,NULL,NULL,1726292,E,NULL,Toshkent shahri,1726,44.2,"gov.uz/oz/yangihayot/pages/about; matches 4,419.6 ha in act 443-IV",B,NULL,NULL,4423.54,205200,persons (doimiy aholi / permanent registered population),2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,NULL,NULL,NULL,NULL,4642.5,30,Derived by counting features in the official boundary layer (https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0),NULL,Sputnik ko'chasi 1A,111018,https://yangihayot.tashkent.uz,2020-09-08,NULL,NULL,YES (derivable by dissolving the official mahalla layer on the district field),"Dissolve of official mahalla polygons, Tashkent City Hokimiyat Dept. of Digital Development",https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,2024-10-23,"443-IV / SQ-135-IV - establishment of Yangihayot district (4,419.6 ha); implemented by PQ-4888",2020-09-08 / 2020-09-11,https://lex.uz/docs/5187492,NO,OFFICIAL (derived by dissolve),2026-09-18,NULL
