mahalla_id,mahalla_name_uz_latin,district_name_uz_latin,reference_date,population_total,population_male,population_female,number_of_families,number_of_households,average_household_size,children_total,population_age_0_6,population_age_7_17,population_age_18_30,population_age_31_45,population_age_46_60,population_age_60_plus,working_age_population,elderly_population,registered_population,permanent_population,temporary_population,births,deaths,migration_in,migration_out,population_growth,area_km2,area_ha,population_density_per_km2,value_source_name,value_source_url,source_type,confidence,last_verified_date,notes
UZ-TAS-MFY-515,Olimlar mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2675,26.75,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-516,Ahillik mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1891,18.91,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-517,Asaka mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6527,65.27,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-518,Mirzakalon Ismoiliy mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4151,41.51,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-519,Oqqo'rg'on mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3838,38.38,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-520,Buyuk ipak yo'li mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3646,36.46,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-521,Ulug'bek mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.8587,385.87,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-522,Oydin mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6866,68.66,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-523,Yangi Avayxon mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.211,21.1,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
UZ-TAS-MFY-524,Bog'imaydon mahallasi,Mirzo Ulug'bek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2413,24.13,NULL,NO PUBLIC MAHALLA-LEVEL DEMOGRAPHIC SOURCE LOCATED,NULL,NULL,NULL,2026-09-18,"Mahalla-level demography is held in the MFY yagona reyestri (Unified Register of Mahalla Citizens' Assemblies) inside the Raqamli Mahalla system, legal basis CoM Regulation 586 of 15.09.2025. That register is interagency-only and not published. Obtaining it requires a written request to O'zbekiston Mahallalari Uyushmasi. Area is from the official boundary layer, not a demographic source."
