entity_type,entity_name,district,geometry_status,geometry_format,coordinate_system,source_authority,source_name,source_url,download_url,api_url,reference_date,access_date,tested_in_this_session,confidence,licence,notes
mahalla,Tashkent Mahallas (585 polygons),ALL 12,OFFICIAL,GeoJSON / SHP / CSV / KML / ArcGIS REST,stored EPSG:102100 (3857); served as EPSG:4326,Toshkent shahar hokimligi - Raqamli rivojlantirish boshqarmasi,"Tashkent Mahallas, republished on Esri Central Asia & Caucasus GeoPortal",https://www.cacgeoportal.com/maps/c51c854bad2d48f1beaad40272f8d483,https://hub.arcgis.com/api/v3/datasets/c51c854bad2d48f1beaad40272f8d483_0/downloads/data?format=geojson&spatialRefId=4326,https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0,2024-10-23 adopted; 2025-07 republication snapshot,2026-09-18,YES - attribute table of all 585 features retrieved and count-verified via the query API,A,NOT STATED on the item (licenseInfo empty). Credit: 'Open Data Tashkent'. CONFIRM REUSE TERMS BEFORE COMMERCIAL USE.,"THE PRIMARY ACQUISITION TARGET. Item description states: 'Ofitsialnye granitsy mahalley Tashkenta ... Dannye skachany s sayta Open Data Tashkent'. Fields: OBJECTID, id, district, id_geoname, name_uz_lt, name_uz_kr, name_ru, Maydoni (hectares), Shape__Area, Shape__Length"
mahalla,Tematicheskiy sloy granits mahalley <district>,one dataset per district,OFFICIAL - PRIMARY SOURCE OF RECORD,SHP + PDF,NOT STATED,Toshkent shahar hokimligi - Raqamli rivojlantirish boshqarmasi,"Open Data Tashkent, section 'Territoriya'",https://opendata.tashkent.uz,"Known dataset paths: /data/135 Mirobod, /data/140 Sergeli, /data/223 Olmazor (12 expected)",https://opendata.tashkent.uz/developers/,2023-11-24 to 2024-10-23,2026-09-18,NO - all .uz hosts are blocked by this session's egress policy (HTTP 403 at the proxy),A for existence; C for file-level detail,"Open data portal, terms not explicitly published",This is the source of record and is more current than the 2025-07 republication. Must be accessed from an unrestricted connection.
district,Tashkent 12 districts,ALL 12,OFFICIAL (derived by dissolve),derive from the mahalla layer,EPSG:4326,Toshkent shahar hokimligi,Dissolve of the official mahalla layer on the 'district' field,https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0,see mahalla row,same,2024-10-23,2026-09-18,YES - the district field returns exactly 12 distinct values matching the official district list,A,as per the mahalla layer,NO separate official district polygon layer was found. Dissolving the mahalla layer is the correct route and yields legally-grounded district boundaries.
"mahalla (codes only, NO geometry)",FHIR CodeSystem mahalla-cs,national,N/A - attributes only,FHIR JSON,N/A,Ministry of Health / UZINFOCOM,"Uzbekistan Digital Health IG, mahalla code system",https://build.fhir.org/ig/uzinfocom-org/digital-health-ig/en/CodeSystem-mahalla-cs.html,https://build.fhir.org/ig/uzinfocom-org/digital-health-ig/en/CodeSystem-mahalla-cs.json.html,https://terminology.dhp.uz/fhir/core/CodeSystem/mahalla-cs,refreshed 2026-09-17,2026-09-18,NO - reported by research,A,open implementation guide,HIGH VALUE: ~1000+ official mahalla codes with UZ/RU/EN names. Use as the official code join key to fill the mahalla_SOATO_code / official_unique_code gap. No geometry.
parcel / cadastre,National Geodata Portal (Kadastr agentligi),national,OFFICIAL,ArcGIS Enterprise REST,likely EPSG:102100,Cadastre Agency under the Ministry of Economy and Finance,open.ngis.uz / db.ngis.uz,https://open.ngis.uz/,none published,https://db.ngis.uz/db/rest/services,registered 2023-01-05,2026-09-18,NO - .uz blocked by egress policy,B,Mixed free/paid. Legal basis: CoM Resolution 610 of 18.10.2022,"REST endpoint requires ArcGIS Enterprise login. Parcels/land use, not the mahalla registry. Call centre 1097. State IS passport: https://reestr.uz/ru/projects/1529?type=passport"
urban planning zones,Davlat shaharsozlik kadastri geoportal,national,OFFICIAL,web GIS,NOT STATED,State Urban Planning Cadastre,dshk.uz,https://dshk.uz/ru/,NULL,NULL,current,2026-09-18,NO - .uz blocked,B,restricted,"Login required (dshk.uz/login_form/). Relevant for zoning and genplan, not for the mahalla registry."
district (ADM2 only),COD-AB Uzbekistan,national,RECONSTRUCTED / OSM-derived,"SHP, GDB, XLSX",EPSG:4326,OCHA / ITOS-UGA,Humanitarian Data Exchange,https://data.humdata.org/dataset/cod-ab-uzb,via HDX resource list,NULL,coverage to 2024-08-17,2026-09-18,NO,A for the finding,typically CC-BY-IGO,ADM0/ADM1(14)/ADM2(199) ONLY - NO mahalla level. HDX's own caveat calls these 'unofficial administrative boundaries sourced from open data'. DO NOT label as official.
district (ADM2 only),geoBoundaries gbOpen UZB,national,RECONSTRUCTED,"GeoJSON, SHP",EPSG:4326,William & Mary geoLab,geoBoundaries,https://www.geoboundaries.org/,https://raw.githubusercontent.com/wmgeolab/geoBoundaries/main/releaseData/gbOpen/UZB/ADM2/geoBoundaries-UZB-ADM2.geojson,https://www.geoboundaries.org/api/current/gbOpen/UZB/ADM2/,current release,2026-09-18,PARTIAL - the GitHub path resolves but returns a git-LFS pointer; must be fetched through LFS or the website,A for the finding,CC-BY 4.0,ADM3 and ADM4 return 404 for UZB - geoBoundaries has NO mahalla level. gbHumanitarian and gbAuthoritative do not exist for UZB at any level.
district (ADM2 only),GADM 4.1 Uzbekistan,national,RECONSTRUCTED,"SHP, GPKG, GeoJSON",EPSG:4326,GADM,GADM,https://gadm.org/download_country.html,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_UZB_shp.zip,NULL,v4.1 (2022),2026-09-18,NO,B,NON-COMMERCIAL / ACADEMIC ONLY; redistribution prohibited,"UNSUITABLE FOR CASE COMMERCIAL DELIVERABLES on licence grounds. Levels 0/1/2 only, no mahalla."
all OSM features,Geofabrik Uzbekistan extract,national,OSM_ONLY,"PBF, SHP, GPKG",EPSG:4326,Geofabrik / OpenStreetMap contributors,Geofabrik download server,https://download.geofabrik.de/asia/uzbekistan.html,https://download.geofabrik.de/asia/uzbekistan-latest.osm.pbf,NULL,daily,2026-09-18,NO - not needed; official geometry supersedes it,A for the finding,"ODbL 1.0 - share-alike, attribution required",Useful only for street/POI context. OSM mahalla coverage for Tashkent is unverified and is superseded by the official layer. The free SHP export does not reliably carry admin relations - use the PBF with osmium/ogr2ogr.
mahalla (view only),2GIS Tashkent mahalla layer,ALL,UNKNOWN,in-app only,N/A,2GIS,2gis.uz,https://2gis.uz/tashkent,NONE,NONE,since 2020-05-01 (508 mahallas then),2026-09-18,NO,B,PROPRIETARY - not licensed for extraction,DO NOT SCRAPE. Superseded by the 2024 official set of 585.
