change_date,entity_type,old_name,new_name,old_district,new_district,change_type,legal_document,legal_document_date,source_url,description,confidence
2015-12-25,mahalla,NULL,30 new mahallas,NULL,"Mirzo Ulug'bek (2), Sergeli (6), Uchtepa (7), Chilonzor (2)",created,Tashkent City Kengash resolution - NUMBER NOT ESTABLISHED,2015-12-25,https://kun.uz/uz/120006,30 new mahallas carved from existing ones; city total rises to 505. No change to city area.,C
2016-04-29,mahalla,100+ various,100+ various,NULL,NULL,renamed,NOT ESTABLISHED,NULL,https://daryo.uz/2016/04/29/toshkentda-100-dan-ortiq-mahalla-nomi-ozgardi/,"Over 100 Tashkent mahallas renamed, reportedly to eliminate duplicate names. Underlying act not located.",D
2016-07-12,mahalla,NULL,NULL,NULL,NULL,boundary_changed (formalised),124/15-5 'On establishing the borders of mahallas in Tashkent city',2016-07-12,https://lex.uz/docs/3073794,"Tashkent City Kengash approves boundary maps and descriptions for all 505 mahallas across 11 districts. Per-district: Yunusobod 63, Uchtepa 60, Olmazor 58, Yashnobod 57, Mirzo Ulug'bek 54, Chilonzor 51, Shayxontohur 51, Sergeli 39, Mirobod 39, Yakkasaroy 21, Bektemir 12. SUPERSEDED by the 2023-2024 decisions.",A
2019-04-16,city + district,NULL,NULL,Zangiota (Tashkent REGION),Sergeli (Tashkent CITY),transferred / boundary_changed,"2456-III (Legislative Chamber, Oliy Majlis)",2019-04-16,https://lex.uz/docs/5164334,428 ha annexed into Tashkent City: 'Yuqori darxon' mahalla in full plus parts of 'Toshkent' and 'Past darxon'.,A
2020-08-19,mahalla,Humo,Yangi turmush; Yangi hayot; Oriyat; Marhamat; Gulshanobod,Sergeli,Sergeli,split,149/18-6 (Tashkent City Kengash),2020-08-19,https://lex.uz/docs/4986477,"'Humo' split into 5 new mahallas (pops 5,256 / 8,790 / 4,028 / 9,450 / 4,450). City total stated as 519. Prepares the ground for Yangihayot. All six later moved to Yangihayot.",A
2020-09-08,district,NULL,Yangihayot tumani,"Sergeli + Bektemir (city); Zangiota, Quyi Chirchiq, Yangiyo'l, O'rtachirchiq (region)",Yangihayot,created,"443-IV (Legislative Chamber) + SQ-135-IV (Senate, 2020-09-11); implemented by PQ-4888 of 2020-11-11",2020-09-08,https://lex.uz/docs/5187492,"12th district of Tashkent City created. Total area 4,419.6 ha. From Sergeli 1,864.2 ha (13 mahallas in full, 6 partial); from Bektemir 267.0 ha ('Binokor'); from Tashkent Region 2,288.4 ha.",A
2020-11-11,district,NULL,Yangihayot,NULL,Yangihayot,created (implementation),PQ-4888 (President),2020-11-11,https://lex.uz/docs/5094720,"Establishes the district hokimlik, staffing, equipment and administrative buildings. Hokimlik operational from ~12 Nov 2020.",A
2021-08-16,city,NULL,NULL,"Zangiota, Yuqori Chirchiq, O'rtachirchiq, Qibray (Tashkent REGION)","Sergeli, Bektemir, Mirzo Ulug'bek, Yashnobod (Tashkent CITY)",boundary_changed / transferred,"1290-IV (Legislative Chamber) + SQ-379-IV (Senate, 2021-08-27)",2021-08-16,https://lex.uz/ru/docs/5658180,"LARGEST EXPANSION: 7,853.3 ha into the city (3,250.1 ha agricultural), 171.3 ha back to the region. 42 mahallas, 95,872 residents, 23,249 families, 29,010 dwellings moved into Tashkent City. CRITICAL: all district areas published before this date are obsolete.",A
2021-08-16,district,NULL,NULL,Zangiota (region),Sergeli (city),transferred,1290-IV / SQ-379-IV,2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,"1,827.1 ha (424.2 ha agricultural), 13 mahallas.",A
2021-08-16,district,NULL,NULL,Yuqori Chirchiq (region),Bektemir (city),transferred,1290-IV / SQ-379-IV,2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,"490.0 ha (154.2 ha agricultural), 2 mahallas.",A
2021-08-16,district,NULL,NULL,O'rtachirchiq (region),Bektemir (city),transferred,1290-IV / SQ-379-IV,2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,"1,134.2 ha (578.2 ha agricultural), 5 mahallas.",A
2021-08-16,district,NULL,NULL,Qibray (region),Mirzo Ulug'bek (city),transferred,1290-IV / SQ-379-IV,2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,"2,294.6 ha (1,090.9 ha agricultural), 13 mahallas. Explains why the layer's Mirzo Ulug'bek area (59.4 km2) far exceeds pre-2021 published figures (35.15 km2).",A
2021-08-16,district,NULL,NULL,Qibray (region),Yashnobod (city),transferred,1290-IV / SQ-379-IV,2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,"2,107.4 ha (1,002.6 ha agricultural), 8 mahallas.",A
2021-08-16,city,NULL,NULL,Sergeli + Bektemir (city),Zangiota + Yuqori Chirchiq (region),transferred (OUT of the city),1290-IV / SQ-379-IV,2021-08-16 / 2021-08-27,https://lex.uz/ru/docs/6368184,"33.8 ha ceded from Sergeli, 137.5 ha from Bektemir.",A
2023-10-20,mahalla,Olimpiya; Miskin,2 new mahallas - FINAL NAMES NOT CONFIRMED,Olmazor,Olmazor,split,NOT ESTABLISHED,NULL,https://www.gazeta.uz/ru/2023/10/20/mahalla/,"Public vote held on geonom.tashkent.uz; shortlisted names 'Mehr nuri' and 'Islohot'. The current layer shows Olmazor with 64 mahallas including Olimpiya and Miskin, plus late-added ids 89160 Xislat, 389120 Chamanbog', 2715875 Kaykovus.",D
2023-11-24,mahalla,NULL,NULL,NULL,Mirobod,boundary_changed,Tashkent City Kengash decision - NUMBER NOT ESTABLISHED,2023-11-24,https://www.gazeta.uz/ru/2024/10/28/mahallas/,FIRST district to have its mahalla boundaries legally adopted under the 2.5-year boundary-definition programme run by the Tashkent Department of Digital Development.,C
2024-05-20,national framework,NULL,NULL,NULL,NULL,competence change,CoM Resolution 294 amending Regulation 48 of 04.03.2014,2024-05-20,https://lex.uz/ru/docs/6931873,Authority to create and merge mahallas delegated to the Tashkent City Kengash; minimum mahalla size cut from 500 to 400 households; standing interdepartmental commissions created. In force 21.05.2024.,A
2024-10-23,mahalla,NULL,NULL,NULL,Yunusobod; Chilonzor,boundary_changed,Tashkent City Kengash decisions - NUMBERS NOT ESTABLISHED,2024-10-23,https://www.gazeta.uz/ru/2024/10/28/mahallas/,FINAL districts approved. Completes legal adoption of boundaries for all 585 mahallas of Tashkent City. Geometry published as SHP + PDF on opendata.tashkent.uz. THIS IS THE LEGAL BASIS FOR THE CURRENT MAHALLA LAYER.,C
2024-12-10,classifier / register,NULL,NULL,NULL,NULL,register created,CoM Resolution 832,2024-12-10,https://lex.uz/docs/7254182,"State Register of administrative-territorial units created inside the state land cadastre, run by the Cadastre Agency. MHOBT/SOATO codes assigned by the National Statistics Committee within 2 working days. THIS IS THE AUTHORITATIVE ROUTE TO VERIFY SOATO CODES.",A
2025-09-15,mahalla register,NULL,NULL,NULL,NULL,register created,CoM Regulation 586 - MFY yagona reyestri,2025-09-15,https://lex.uz/uz/docs/-7733032,"Unified Register of Mahalla Citizens' Assemblies established inside Raqamli Mahalla. Holds per-mahalla: full and short name, auto-assigned mahalla code, STIR (tax ID), Kengash decision number and date, territory and GEOSPATIAL BOUNDARY. Operator: O'zbekiston Mahallalari Uyushmasi. Launched 01.12.2025; agencies aligned by 01.01.2026. NOT PUBLIC - this single export would close nearly every gap in this dataset.",A
2023-11-11,district,NULL,Yangi Toshkent tumani,"Yuqori Chirchiq, O'rtachirchiq (Tashkent Region)",PROPOSED 13th district,PROPOSED - NOT ENACTED,"Draft Legislative Chamber resolution, public comment to 2023-11-25",NULL,https://www.gazeta.uz/oz/2023/11/11/new-tashkent/,"19,729.41 ha proposed, ~40 mahallas. NO ENACTING ACT FOUND. Tashkent City still has 12 districts as of 2026-09-18 (verified against press listings of 20.04.2026 and 16.09.2026). 'New Tashkent' remains a construction project under the Cabinet of Ministers Directorate, not an administrative district. MONITOR THIS.",A (for non-enactment)
