SOURCE_ID,source_title,organization,source_type,publication_date,data_reference_date,URL,what_data_was_extracted,geographic_scope,official_or_secondary,confidence,comments
S001,Tashkent Mahallas boundary layer (585 features),Toshkent shahar hokimligi - Raqamli rivojlantirish boshqarmasi; republished by Esri CAC GeoPortal,GIS feature service,2025-07,2024-10-23,https://services8.arcgis.com/GyR85gR88mMqIY4t/arcgis/rest/services/Tashkent_Mahallas/FeatureServer/0,"THE COMPLETE 585-MAHALLA REGISTER: id, district, name_uz_lt, name_uz_kr, name_ru, Maydoni (ha). Plus official polygon geometry (not embedded in this delivery).","Tashkent City, all 12 districts",Official (verbatim third-party republication),A,PRIMARY SOURCE FOR THIS DATASET. Attribute table retrieved and count-verified in full on 2026-09-18. Licence not stated on the item - confirm before commercial use.
S002,Open Data Tashkent - Territoriya section,Toshkent shahar hokimligi - Raqamli rivojlantirish boshqarmasi,Open data portal,2023-2024,2023-11-24 to 2024-10-23,https://opendata.tashkent.uz,Per-district mahalla boundary SHP + PDF (source of record),Tashkent City,Official,A,NOT RETRIEVABLE from this session - all .uz hosts blocked by egress policy. Acquisition target #1.
S003,Hokimiyat Tashkenta opredelil granitsy vsekh mahalley stolitsy,Gazeta.uz,News,2024-10-28,2024-10-23,https://www.gazeta.uz/ru/2024/10/28/mahallas/,"Total 585 mahallas; Kengash decisions per district; Mirobod first 24.11.2023, Yunusobod and Chilonzor last 23.10.2024; SHP published on opendata portal",Tashkent City,Secondary quoting official,C,Key provenance citation for the legal basis of the boundary layer.
S004,V Tashkente peresmotreli granitsy mahalley - karty,UzNews.uz,News,2024-10,2024-10,https://www.uznews.uz/ru/news/77499,Per-district mahalla counts for all 12 districts,Tashkent City,Secondary,C,Counts sum to exactly 585 and match the feature counts in S001 district-for-district - independent corroboration.
S005,Demografiya Jan-Jun 2026,Toshkent shahar statistika boshqarmasi (Toshstat),Statistical release (PDF),2026-07-27,2026-07-01,https://toshstat.uz/2026/demografiya/demografiya1.pdf,"District population for all 12 districts; city total, sex split, density; migration in/out by district; births, deaths, marriages, divorces",Tashkent City + districts,Official,A,"MOST CURRENT district-level population. District values sum exactly to the published city total (3,212.2k)."
S006,Demografiya Jan-Sep 2025,Toshstat,Statistical release (PDF),2025-10-27,2025-10-01,https://toshstat.uz/2025/Demografya/Demografiya.pdf,"District population, migration, vital statistics",Tashkent City + districts,Official,A,NULL
S007,Demografiya Jan-Mar 2025,Toshstat,Statistical release (PDF),2025-04-27,2025-04-01,https://toshstat.uz/2025/Demografya/demografya.pdf,"District population, migration",Tashkent City + districts,Official,A,NULL
S008,Demografiya Jan-Dec 2024,Toshstat,Statistical release (PDF),2025,2025-01-01,https://toshstat.uz/2024/demografiya/demog123.pdf,District population; city vital statistics,Tashkent City + districts,Official,A,NULL
S009,2026 Population Census - preliminary results,Milliy statistika qo'mitasi (NSC),Census publication,2026-06-30,2026-01-15,https://stat.uz/img/news/kitob-uzb_p68566.pdf,"Census population of Tashkent City: 3,224,838 (M 1,612,832 / F 1,612,006), 100% urban",Tashkent City,Official,A,"FIRST CENSUS IN 37 YEARS. ~47k higher than the register figure. Detailed output (age, households, housing) releasing progressively to 2027-07-01 via aholi.uz and stat.uz. RE-PULL when district and mahalla tables appear."
S010,Aholisi soni eng ko'p bo'lgan top-10 tuman va shaharlar,NSC,Statistical news,2025-11-05,2025-10-01,https://stat.uz/uz/matbuot-markazi/qo-mita-yangiliklar/64974-a-olisi-soni-eng-k-p-b-lgan-top-10-tuman-va-sha-arlar-2,"Exact unit-level population for Olmazor, Yunusobod, Shayxontohur",3 districts,Official,A,NULL
