district_name_uz_latin,indicator,value,unit,reference_date,source_name,source_url,confidence,last_verified_date,notes
Olmazor,population_total,409.9,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Yunusobod,population_total,383.4,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Shayxontohur,population_total,368.5,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Mirzo Ulug'bek,population_total,335.6,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Yashnobod,population_total,307.7,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Uchtepa,population_total,301.4,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Chilonzor,population_total,276.4,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Yangihayot,population_total,184.3,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Sergeli,population_total,172.0,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Mirobod,population_total,153.8,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Yakkasaroy,population_total,138.1,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Bektemir,population_total,64.4,thousand persons (doimiy aholi / permanent registered),2024-10-01,"Toshstat, Demografiya Jan-Sep 2025 (comparator column)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Olmazor,population_total,412.0,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Yunusobod,population_total,385.2,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Shayxontohur,population_total,369.6,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Mirzo Ulug'bek,population_total,337.1,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Yashnobod,population_total,309.7,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Uchtepa,population_total,301.7,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Chilonzor,population_total,276.7,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Yangihayot,population_total,188.2,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Sergeli,population_total,173.2,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Mirobod,population_total,154.2,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Yakkasaroy,population_total,139.7,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Bektemir,population_total,65.5,thousand persons (doimiy aholi / permanent registered),2025-01-01,"Toshstat, Demografiya Jan-Dec 2024",https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Olmazor,population_total,413.3,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Yunusobod,population_total,387.1,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Shayxontohur,population_total,370.7,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Mirzo Ulug'bek,population_total,338.2,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Yashnobod,population_total,311.8,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Uchtepa,population_total,301.9,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Chilonzor,population_total,276.8,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Yangihayot,population_total,191.9,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Sergeli,population_total,174.6,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Mirobod,population_total,154.7,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Yakkasaroy,population_total,140.8,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Bektemir,population_total,66.6,thousand persons (doimiy aholi / permanent registered),2025-04-01,"Toshstat, Demografiya Jan-Mar 2025 (pub 27.04.2025)",https://toshstat.uz/2025/Demografya/demografya.pdf,A,2026-09-18,NULL
Olmazor,population_total,414.8,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Yunusobod,population_total,389.3,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Shayxontohur,population_total,371.6,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Mirzo Ulug'bek,population_total,339.3,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Yashnobod,population_total,313.8,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Uchtepa,population_total,302.6,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Chilonzor,population_total,276.7,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Yangihayot,population_total,194.8,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Sergeli,population_total,176.0,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Mirobod,population_total,155.4,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Yakkasaroy,population_total,142.4,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Bektemir,population_total,68.5,thousand persons (doimiy aholi / permanent registered),2025-07-01,"Toshstat, Demografiya Jan-Jun 2026 (comparator column)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Olmazor,population_total,416.8,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Yunusobod,population_total,391.1,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Shayxontohur,population_total,372.7,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Mirzo Ulug'bek,population_total,340.9,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Yashnobod,population_total,315.8,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Uchtepa,population_total,303.3,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Chilonzor,population_total,277.0,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Yangihayot,population_total,198.4,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Sergeli,population_total,177.7,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Mirobod,population_total,156.1,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Yakkasaroy,population_total,143.8,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Bektemir,population_total,70.4,thousand persons (doimiy aholi / permanent registered),2025-10-01,"Toshstat, Demografiya Jan-Sep 2025 (pub 27.10.2025)",https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Olmazor,population_total,421.3,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Yunusobod,population_total,396.8,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Shayxontohur,population_total,375.0,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Mirzo Ulug'bek,population_total,345.3,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Yashnobod,population_total,322.3,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Uchtepa,population_total,308.1,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Chilonzor,population_total,277.6,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Yangihayot,population_total,205.2,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Sergeli,population_total,182.5,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Mirobod,population_total,157.5,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Yakkasaroy,population_total,147.0,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Bektemir,population_total,73.6,thousand persons (doimiy aholi / permanent registered),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026 (pub 27.07.2026)",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Olmazor,population_total,390000,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Yunusobod,population_total,363000,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Shayxontohur,population_total,357400,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
