scope,indicator,value,unit,reference_date,source_name,source_url,confidence,last_verified_date,notes
Toshkent shahri (Tashkent City),population_total_CENSUS,3224838,persons,2026-01-15,"Milliy statistika qo'mitasi, 2026 Census preliminary results",https://stat.uz/img/news/kitob-uzb_p68566.pdf,A,2026-09-18,First national census in 37 years; census moment 15.01.2026. ~47k HIGHER than the register-based figure
Toshkent shahri (Tashkent City),population_male_CENSUS,1612832,persons,2026-01-15,NSC 2026 Census preliminary,https://stat.uz/img/news/kitob-uzb_p68566.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),population_female_CENSUS,1612006,persons,2026-01-15,NSC 2026 Census preliminary,https://stat.uz/img/news/kitob-uzb_p68566.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),urban_population_CENSUS,3224838,persons,2026-01-15,NSC 2026 Census preliminary,https://stat.uz/img/news/kitob-uzb_p68566.pdf,A,2026-09-18,City is 100% urban
Toshkent shahri (Tashkent City),population_total,3212.2,thousand persons (doimiy aholi),2026-07-01,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,Sum of the 12 district figures reconciles exactly to this total
Toshkent shahri (Tashkent City),population_female,1633.3,thousand persons,2026-07-01,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,50.8%
Toshkent shahri (Tashkent City),population_male,1578.9,thousand persons,2026-07-01,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,49.2%
Toshkent shahri (Tashkent City),population_total,3178.1,thousand persons (doimiy aholi),2026-01-01,NSC demography release (pub 27.01.2026),https://stat.uz/img/news/demografiya-lotin_p85803.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),population_total,3164.0,thousand persons (doimiy aholi),2025-10-01,Toshstat,https://toshstat.uz/2025/Demografya/Demografiya.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),population_total,3112.8,thousand persons (doimiy aholi),2025-01-01,Toshstat,https://toshstat.uz/2024/demografiya/demog123.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),population_total,3040.8,thousand persons (doimiy aholi),2024-01-01,Toshstat news (pub 26.01.2024),https://www.toshstat.uz/uz/matbuot-markazi/news/10812-toshkent-shahri-doimiy-aholisi-sonining-taqsimlanishi1,B,2026-09-18,NULL
Toshkent shahri (Tashkent City),number_of_families,1011537,families,2025-01-01,UZA.uz citing NSC (pub 25.08.2025),https://uza.uz/en/posts/ozbekistonda-2025-yil-hisobida-oilalar-soni_752844,C,2026-09-18,City-level only; no district or mahalla breakdown published
Toshkent shahri (Tashkent City),population_density,7389.9,persons per km2,2026-07-01,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,Implies a city area of ~434.7 km2
Toshkent shahri (Tashkent City),area_km2_implied,434.7,km2,2026-07-01,DERIVED: population_total divided by published density,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,"Derived, not published. Compare with 427.3 km2 from summing official mahalla areas"
Toshkent shahri (Tashkent City),births,27.4,thousand,2026-01-01/2026-06-30,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"rate 17.3 per 1,000"
Toshkent shahri (Tashkent City),deaths,7.5,thousand,2026-01-01/2026-06-30,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"rate 4.8 per 1,000"
Toshkent shahri (Tashkent City),natural_increase,19.9,thousand,2026-01-01/2026-06-30,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),marriages,9.5,thousand,2026-01-01/2026-06-30,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"rate 6.0 per 1,000"
Toshkent shahri (Tashkent City),divorces,3.2,thousand,2026-01-01/2026-06-30,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"rate 2.0 per 1,000"
Toshkent shahri (Tashkent City),migration_in,64500,persons,2026-01-01/2026-06-30,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"internal 63,411 / international 1,089"
Toshkent shahri (Tashkent City),migration_out,50355,persons,2026-01-01/2026-06-30,Toshstat,https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"internal 49,863 / international 492"
Toshkent shahri (Tashkent City),number_of_mahallas,585,mahallas,2024-10-23,Counted from the official boundary layer; corroborated by Gazeta.uz 28.10.2024 and the Mayor (Aug 2026),https://www.gazeta.uz/ru/2024/10/28/mahallas/,A,2026-09-18,Per-district counts sum to exactly 585
Toshkent shahri (Tashkent City),number_of_districts,12,districts,2026-09-18,gov.uz regional directory; tashkent.uz; toshstat demography tables,https://gov.uz/oz/toshkent/departments/regional,A,2026-09-18,'Yangi Toshkent' is a proposed 13th district - NOT enacted as of this date
