district_id,soato_code,cadastre_prefix,district_name_uz_latin,district_name_uz_cyrillic,district_name_ru,district_name_en,former_names,parent_city,parent_soato,area_km2_geodesic,population_2026_01_01,population_2026_source,population_2025_10_01,population_2025_source,population_density_per_km2_2026,number_of_mahallas_official,mahallas_with_official_polygon,mahalla_polygon_coverage_pct,district_center,latitude_centroid,longitude_centroid,official_boundary_available,boundary_source,boundary_source_url,geometry_status,coordinate_reference_system,legal_document_defining_name,legal_document_date,legal_document_url,last_verified_date,confidence,notes
1726262,1726262,1001,Uchtepa tumani,Учтепа тумани,Учтепинский район,Uchtepa District,Akmal Ikromov tumani (1977-2005),Toshkent shahri,1726,28.18,306400,https://hudud.stat.uz/api/v1/passport/demography/1726262/,303300,https://toshstat.uz/2025/Demografya/Demografiya.pdf,10873.0,60,43,71.7,"Farhod koʻchasi 21, 100126",41.29575,69.16664,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,Senate of Oliy Majlis Resolution No. 39-I,2005-05-06,https://www.lex.uz/docs/1154885,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726264,1726264,1002,Bektemir tumani,Бектемир тумани,Бектемирский район,Bektemir District,Norimon Norimonov tumani (1981-1990); Bektemir shahri (1973-1990),Toshkent shahri,1726,32.482,72500,https://hudud.stat.uz/api/v1/passport/demography/1726264/,70400,https://toshstat.uz/2025/Demografya/Demografiya.pdf,2232.0,18,13,72.2,"Boyqaro koʻchasi 2, 100158",41.22603,69.33689,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,NULL,NULL,NULL,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726266,1726266,1007,Yunusobod tumani,Юнусобод тумани,Юнусабадский район,Yunusabad District,Kirov tumani (-1992),Toshkent shahri,1726,41.066,395000,https://hudud.stat.uz/api/v1/passport/demography/1726266/,391100,https://toshstat.uz/2025/Demografya/Demografiya.pdf,9619.0,64,40,62.5,"Amir Temur shoh koʻchasi 72, 100084",41.36061,69.28573,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,Presidium of Supreme Soviet Decree No. 579-XII,1992-05-08,https://lex.uz/ru/docs/281121,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726269,1726269,1009,Mirzo Ulugʻbek tumani,Мирзо Улуғбек тумани,Мирзо-Улугбекский район,Mirzo Ulugbek District,Proletarskiy (1929-1935); Kuybishev tumani (1935-1992),Toshkent shahri,1726,59.532,343900,https://hudud.stat.uz/api/v1/passport/demography/1726269/,340900,https://toshstat.uz/2025/Demografya/Demografiya.pdf,5777.0,70,53,75.7,"Mustaqillik shoh koʻchasi 122, 100052",41.3405,69.37908,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,Presidium of Supreme Soviet Decree No. 580-XII,1992-05-08,https://lex.uz/ru/docs/281541,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726273,1726273,1011,Mirobod tumani,Миробод тумани,Мирабадский район,Mirabad District,Temiryoʻlchilar (1929); Lenin tumani (1929-1992),Toshkent shahri,1726,16.475,156900,https://hudud.stat.uz/api/v1/passport/demography/1726273/,156100,https://toshstat.uz/2025/Demografya/Demografiya.pdf,9524.0,39,30,76.9,"Nukus koʻchasi 18, 100060",41.27689,69.29279,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,Presidium of Supreme Soviet Decree No. 579-XII,1992-05-08,https://lex.uz/ru/docs/281121,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726277,1726277,1010,Shayxontohur tumani,Шайхонтоҳур тумани,Шайхантахурский район,Shaykhantahur District,Oktyabr tumani (1929-1992),Toshkent shahri,1726,27.065,374600,https://hudud.stat.uz/api/v1/passport/demography/1726277/,372700,https://toshstat.uz/2025/Demografya/Demografiya.pdf,13841.0,51,20,39.2,"A.Qodiriy koʻchasi 7A, 100011",41.32505,69.2166,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,Presidium of Supreme Soviet Decree No. 579-XII,1992-05-08,https://lex.uz/ru/docs/281121,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726280,1726280,1008,Olmazor tumani,Олмазор тумани,Алмазарский район,Almazar District,Sobir Rahimov tumani (1981-2010),Toshkent shahri,1726,33.786,419600,https://hudud.stat.uz/api/v1/passport/demography/1726280/,416800,https://toshstat.uz/2025/Demografya/Demografiya.pdf,12419.0,64,32,50.0,"Kichik Halqa yoʻli 1, 100095",41.35791,69.22324,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,Legislative Chamber Res. No. 182-II + Senate Res. No. 133-II,2010-12-04,https://lex.uz/ru/docs/2949066,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726283,1726283,1006,Sergeli tumani,Сергели тумани,Сергелийский район,Sergeli District,NULL (classifier variant: Sirgʻali tumani),Toshkent shahri,1726,52.206,180400,https://hudud.stat.uz/api/v1/passport/demography/1726283/,177700,https://toshstat.uz/2025/Demografya/Demografiya.pdf,3456.0,46,39,84.8,"Soʻgʻdiyona koʻchasi 1, 100085",41.23555,69.25676,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,NULL,NULL,NULL,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726287,1726287,1005,Yakkasaroy tumani,Яккасарой тумани,Яккасарайский район,Yakkasaray District,Frunze tumani (1936-1992),Toshkent shahri,1726,14.253,146000,https://hudud.stat.uz/api/v1/passport/demography/1726287/,143800,https://toshstat.uz/2025/Demografya/Demografiya.pdf,10244.0,21,16,76.2,"Bobur koʻchasi 4, 100100",41.28084,69.24801,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,Presidium of Supreme Soviet Decree No. 579-XII,1992-05-08,https://lex.uz/ru/docs/281121,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
1726290,1726290,1004,Yashnobod tumani,Яшнобод тумани,Яшнободский район,Yashnobod District,Hamza tumani (-2014),Toshkent shahri,1726,58.89,319800,https://hudud.stat.uz/api/v1/passport/demography/1726290/,315800,https://toshstat.uz/2025/Demografya/Demografiya.pdf,5430.0,67,55,82.1,NULL,41.2901,69.3577,YES,Kadastr agentligi - open.ngis.uz Hosted/TUMAN_BORDER,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,OFFICIAL,EPSG:4326,Senate of Oliy Majlis Resolution No. PS-441-II,2014-08-29,https://www.lex.uz/ru/docs/2466827,2026-09-18,A,Area recomputed geodesically; service field st_area_sh is Web-Mercator and overstates area by ~1.772x
