mahalla_id,official_unique_code,soato_code,mahalla_name_uz_latin,mahalla_name_uz_cyrillic,mahalla_name_ru,mahalla_name_en,official_full_name,alternative_spellings,former_names,mahalla_type,district_id,district_name_uz_latin,district_name_ru,parent_city,current_status,registry_source,registry_source_url,area_ha_geodesic,area_ha_cadastre_utm,mahalla_center_latitude,mahalla_center_longitude,official_boundary_available,geometry_available,geometry_status,geometry_source,geometry_api_url,coordinate_reference_system,geometry_date,boundary_legal_basis,boundary_legal_basis_url,last_verified_date,confidence,notes
1726262001,1726262001,1726262001,Bogʻobod,NULL,NULL,NULL,Bogʻobod mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,48.71,49.22,41.29502,69.18244,YES,YES,OFFICIAL,Kadastr agentligi - open.ngis.uz UZKAD/MAHALLA_UZKAD_DB16,https://db.ngis.uz/db/rest/services/UZKAD/MAHALLA_UZKAD_DB16/FeatureServer/0,EPSG:4326,2026-03-14..2026-08-27,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,NULL
1726262002,1726262002,1726262002,Bogʻiston,NULL,NULL,NULL,Bogʻiston mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,32.7,32.78,41.29513,69.1913,YES,YES,OFFICIAL,Kadastr agentligi - open.ngis.uz UZKAD/MAHALLA_UZKAD_DB16,https://db.ngis.uz/db/rest/services/UZKAD/MAHALLA_UZKAD_DB16/FeatureServer/0,EPSG:4326,2026-03-14..2026-08-27,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,NULL
1726262003,1726262003,1726262003,A.Qodiriy,NULL,NULL,NULL,A.Qodiriy mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,NULL,NULL,NULL,NULL,NO,NO,UNKNOWN,NULL,NULL,NULL,NULL,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,Name and code OFFICIAL; polygon not present in the public cadastre mahalla layer as of 2026-09-18
1726262004,1726262004,1726262004,Bogʻichinor,NULL,NULL,NULL,Bogʻichinor mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,NULL,NULL,NULL,NULL,NO,NO,UNKNOWN,NULL,NULL,NULL,NULL,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,Name and code OFFICIAL; polygon not present in the public cadastre mahalla layer as of 2026-09-18
1726262005,1726262005,1726262005,Guzar,NULL,NULL,NULL,Guzar mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,46.6,46.68,41.28665,69.19157,YES,YES,OFFICIAL,Kadastr agentligi - open.ngis.uz UZKAD/MAHALLA_UZKAD_DB16,https://db.ngis.uz/db/rest/services/UZKAD/MAHALLA_UZKAD_DB16/FeatureServer/0,EPSG:4326,2026-03-14..2026-08-27,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,NULL
1726262006,1726262006,1726262006,Degrez,NULL,NULL,NULL,Degrez mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,NULL,NULL,NULL,NULL,NO,NO,UNKNOWN,NULL,NULL,NULL,NULL,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,Name and code OFFICIAL; polygon not present in the public cadastre mahalla layer as of 2026-09-18
1726262007,1726262007,1726262007,Jurjoniy,NULL,NULL,NULL,Jurjoniy mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,49.17,49.04,41.30178,69.17598,YES,YES,OFFICIAL,Kadastr agentligi - open.ngis.uz UZKAD/MAHALLA_UZKAD_DB16,https://db.ngis.uz/db/rest/services/UZKAD/MAHALLA_UZKAD_DB16/FeatureServer/0,EPSG:4326,2026-03-14..2026-08-27,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,NULL
1726262008,1726262008,1726262008,Koʻxna Choʻponota,NULL,NULL,NULL,Koʻxna Choʻponota mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,46.92,46.66,41.29092,69.1863,YES,YES,OFFICIAL,Kadastr agentligi - open.ngis.uz UZKAD/MAHALLA_UZKAD_DB16,https://db.ngis.uz/db/rest/services/UZKAD/MAHALLA_UZKAD_DB16/FeatureServer/0,EPSG:4326,2026-03-14..2026-08-27,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,NULL
1726262009,1726262009,1726262009,Koʻkcha Oqtepa,NULL,NULL,NULL,Koʻkcha Oqtepa mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,NULL,NULL,NULL,NULL,NO,NO,UNKNOWN,NULL,NULL,NULL,NULL,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,Name and code OFFICIAL; polygon not present in the public cadastre mahalla layer as of 2026-09-18
1726262010,1726262010,1726262010,Nishabariq,NULL,NULL,NULL,Nishabariq mahalla fuqarolar yigʻini,NULL,NULL,Mahalla fuqarolar yigʻini (MFY),1726262,Uchtepa tumani,Учтепинский район,Toshkent shahri,CURRENT / ACTIVE,Kadastr agentligi (Etirof) official MFY register,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,NULL,NULL,NULL,NULL,NO,NO,UNKNOWN,NULL,NULL,NULL,NULL,"Cabinet of Ministers Resolution No. 48, 04.03.2014, art. 26-30",https://www.lex.uz/uz/docs/-2349371,2026-09-18,A,Name and code OFFICIAL; polygon not present in the public cadastre mahalla layer as of 2026-09-18
