entity_type,entity_name,district,geometry_status,geometry_format,coordinate_system,source_authority,source_name,source_url,download_url,api_url,reference_date,access_date,confidence,notes
mahalla,All 402 mapped Tashkent mahallas,all 12,OFFICIAL,Esri JSON / GeoJSON / PBF (query),"EPSG:32642 service, EPSG:3857 source, any outSR",Kadastr agentligi (Cadastre Agency) / Davlat kadastr palatasi,Milliy geoaxborot portali - UZKAD/MAHALLA_UZKAD_DB16,https://open.ngis.uz,NULL,https://db.ngis.uz/db/rest/services/UZKAD/MAHALLA_UZKAD_DB16/FeatureServer/0/query,2026-03-14..2026-08-27,2026-09-18,A,"PRIMARY FIND. capabilities=Query, supportedQueryFormats=JSON,geoJSON,PBF, maxRecordCount=2000, pagination supported. Filter soato_region=1726. Attributes: cadastral_number (=mahalla SOATO), mahalla_name, district_name, soato_district, land_fund_*. 402 of 585 Tashkent mahallas present. The MapServer of the same name has query DISABLED - use the FeatureServer."
district,12 Tashkent districts,all 12,OFFICIAL,Esri JSON,EPSG:32642,Kadastr agentligi / Davlat kadastr palatasi,Milliy geoaxborot portali - Hosted/TUMAN_BORDER,https://open.ngis.uz,NULL,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2/query,current,2026-09-18,A,"Filter: region LIKE %oshkent shahri%. Fields fid,id,prefix,region,district,st_area_sh. WARNING: st_area_sh is a Web-Mercator area, inflated by 1/cos^2(lat) = ~1.772x at Tashkent latitude - recompute areas from geometry."
region,Toshkent shahri outline,n/a,OFFICIAL,Esri JSON,EPSG:32642,Kadastr agentligi,Milliy geoaxborot portali - Hosted/VILOYAT_BORDER,https://open.ngis.uz,NULL,https://db.ngis.uz/db/rest/services/Hosted/VILOYAT_BORDER/FeatureServer,current,2026-09-18,B,Region/city level outline layer; not extracted in this pass.
mahalla register,585 Tashkent MFY names + SOATO codes,all 12,"OFFICIAL (attributes only, no geometry)",JSON,n/a,Kadastr agentligi / Davlat kadastr palatasi,Etirof open cadastre - neighborhoods select,https://etirof.kadastr.uz/open-map,NULL,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,current,2026-09-18,A,"Nationwide 9,473 MFY; 585 for Tashkent City (filter soato//1000 in the 12 district codes). Returns id, name, ruName (empty for Tashkent), soato. NO geometry."
district register,12 Tashkent districts + SOATO,all 12,OFFICIAL (attributes only),JSON,n/a,Kadastr agentligi,Etirof open cadastre - districts select,https://etirof.kadastr.uz/open-map,NULL,https://api-etirof.kadastr.uz/api/v1/commons/selects/districts,current,2026-09-18,A,Source of the official SOATO codes used throughout this dataset.
region,14 regions incl. Toshkent shahri (soato 1726),n/a,OFFICIAL,JSON with Polygon coordinates,EPSG:4326 (implicit),Kadastr agentligi,Etirof open cadastre - territories,https://etirof.kadastr.uz/open-map,NULL,https://api-etirof.kadastr.uz/api/v1/territories,current,2026-09-18,A,"~798 KB, 14 records, embedded polygon geometry per region."
district statistics,"12 Tashkent districts, population time series",all 12,n/a (tabular),JSON,n/a,Milliy statistika qoʻmitasi,SIAT regional module (hudud.stat.uz),https://hudud.stat.uz,NULL,https://hudud.stat.uz/api/v1/gis/regions/?parent__isnull=false&parent_soato=1726,2026 Q1,2026-09-18,B,"Also /api/v1/passport/demography/{soato}/ gives quarterly series 2024Q1-2026Q1 with SDMX ids, and /api/v1/passport/PopularityGenderAges/{soato}/ gives age-sex structure. Portal shows a TEST MODE banner; no stated licence. Deepest official population geography available = tuman."
mahalla,Tashkent mahalla boundaries (rendered tiles only),all 12,OFFICIAL but ACCESS-RESTRICTED,PNG map image export only,EPSG:3857,Kadastr agentligi,open.ngis.uz UZKAD/MAHALLA_UZKAD_DB16 MapServer,https://open.ngis.uz,NULL,https://db.ngis.uz/db/rest/services/UZKAD/MAHALLA_UZKAD_DB16/MapServer,current,2026-09-18,A,"MapServer /export works, /query and /identify return ""The requested capability is not supported"". Superseded by the FeatureServer row above, which DOES allow query."
master plan / zoning,Toshkent shahar bosh rejasi (approved 02.11.2024),all 12,OFFICIAL but CURRENTLY BROKEN,Esri FeatureServer,Web Mercator,Qurilish va uy-joy kommunal xoʻjaligi vazirligi,ArcGIS Online hosted master-plan service,https://mc.uz/oz/toshkent-shahar-bosh-rejasi-uz,NULL,https://services-ap1.arcgis.com/Ai47flMjXeXD2EXw/arcgis/rest/services/Toshkent_shahar_ohirgi_tasdiqlangan_bd_02112024_%D0%B2%D0%B8%D0%B4/FeatureServer/1,2024-11-02,2026-09-18,F,"Returns {""error"":{""code"":403,""message"":""Subscription is disabled, the item is not accessible""}}. Retry later; high value for zoning if it comes back."
zoning,Toshkent land-tax zones,all 12,OFFICIAL,Esri FeatureServer,EPSG:32642,Kadastr agentligi,open.ngis.uz Hosted/TOSHKENT_NALOG_ZONE,https://open.ngis.uz,NULL,https://db.ngis.uz/db/rest/services/Hosted/TOSHKENT_NALOG_ZONE/FeatureServer,current,2026-09-18,B,NOT extracted in this pass. Directly relevant to land-value and rent modelling - recommended next target.
master plan,Toshkent genplan (cadastre copy),all 12,OFFICIAL,Esri FeatureServer,EPSG:3857,Kadastr agentligi,open.ngis.uz Hosted/TOSHKENT_GENPLAN_3857,https://open.ngis.uz,NULL,https://db.ngis.uz/db/rest/services/Hosted/TOSHKENT_GENPLAN_3857/FeatureServer,current,2026-09-18,B,"NOT extracted in this pass. A second, apparently working copy of master-plan geometry inside the cadastre geoportal - recommended next target given mc.uz is down."
