change_date,entity_type,old_name,new_name,old_district,new_district,change_type,legal_document,source_url,source_class,description
1992-05-08,district,Kirov tumani,Yunusobod tumani,NULL,NULL,renamed,"Presidium of the Supreme Soviet of Uzbekistan, Decree No. 579-XII, 08.05.1992",https://lex.uz/ru/docs/281121,OFFICIAL,One of four Tashkent districts renamed by a single decree.
1992-05-08,district,Lenin tumani,Mirobod tumani,NULL,NULL,renamed,"Decree No. 579-XII, 08.05.1992",https://lex.uz/ru/docs/281121,OFFICIAL,Mirobod was formerly Lenin (earlier Temiryoʻlchilar) - NOT Kuybishev. Widely mis-stated.
1992-05-08,district,Oktyabr tumani,Shayxontohur tumani,NULL,NULL,renamed,"Decree No. 579-XII, 08.05.1992",https://lex.uz/ru/docs/281121,OFFICIAL,NULL
1992-05-08,district,Frunze tumani,Yakkasaroy tumani,NULL,NULL,renamed,"Decree No. 579-XII, 08.05.1992",https://lex.uz/ru/docs/281121,OFFICIAL,NULL
1992-05-08,district,Kuybishev tumani,Mirzo Ulugʻbek tumani,NULL,NULL,renamed,"Presidium of the Supreme Soviet, Decree No. 580-XII, 08.05.1992",https://lex.uz/ru/docs/281541,OFFICIAL,"Separate decree, same date. Confirms Kuybishev -> Mirzo Ulugʻbek."
2005-05-06,district,Akmal Ikromov tumani,Uchtepa tumani,NULL,NULL,renamed,"Senate of Oliy Majlis, Resolution No. 39-I, 06.05.2005",https://www.lex.uz/docs/1154885,OFFICIAL,At the petition of the Tashkent hokim.
2010-12-04,district,Sobir Rahimov tumani,Olmazor tumani,NULL,NULL,renamed,Legislative Chamber Res. No. 182-II (03.11.2010) + Senate Res. No. 133-II (04.12.2010),https://lex.uz/ru/docs/2949066,OFFICIAL,Two-step bicameral process.
2014-08-29,district,Hamza tumani,Yashnobod tumani,NULL,NULL,renamed,"Senate of Oliy Majlis, Resolution No. PS-441-II, 29.08.2014",https://www.lex.uz/ru/docs/2466827,OFFICIAL,At the Cabinet of Ministersʼ proposal.
2016-07-12,mahalla (citywide baseline),NULL,NULL,NULL,all 11 districts then existing,boundary_changed,"Xalq deputatlari Toshkent shahar Kengashi, Decision No. 124/15-5, 12.07.2016",https://lex.uz/ru/docs/3073794,OFFICIAL,"First comprehensive fixing of boundaries for the then 505 mahallas of Tashkent City, under the procedure of Cabinet Res. No. 48 of 04.03.2014."
2019-01-12,mahalla,Mehrigiyo,Mehrigiyo + Bunyodobod,Sergeli,Sergeli,split,"Toshkent shahar Kengashi Decision No. 417/47-5, 12.01.2019 (effective 04.06.2019)",https://lex.uz/docs/4427233,OFFICIAL,City total rose 505 -> 508.
2019-01-12,mahalla,Nogʻay-Qoʻrgʻon,Qubay Tepa,Sergeli,Sergeli,renamed,"Decision No. 417/47-5, 12.01.2019",https://lex.uz/docs/4427233,OFFICIAL,Present in this dataset as 1726283046 Qubay-tepa.
2019-01-12,mahalla,Maʻrifat,Oʻqchi-Olmazor,Yashnobod,Yashnobod,renamed,"Decision No. 417/47-5, 12.01.2019",https://lex.uz/docs/4427233,OFFICIAL,NOTE: both 1726290048 Maʻrifat AND 1726290050 Oʻqchi Olmazor exist in the current register - the rename evidently did not remove Maʻrifat. Flagged for verification.
2019-04-16,city boundary,NULL,NULL,Zangiota tumani (Toshkent viloyati),Sergeli tumani (Toshkent shahri),transferred,"Legislative Chamber Resolution No. 2456-III, 16.04.2019",https://lex.uz/docs/5164334,OFFICIAL,428 ha region -> city: Yuqoridarhon mahalla in full plus parts of Toshkent and Pastdarhon mahallas.
2020-09-08,district,NULL,Yangihayot tumani,"Sergeli + Bektemir (city); Zangiota, Quyichirchiq, Yangiyoʻl, Oʻrtachirchiq (region)",Yangihayot tumani,created,"Legislative Chamber Res. No. 443-IV, 08.09.2020; Senate resolution ~11.09.2020 (NUMBER NOT FOUND); Cabinet Res. No. PQ-4888, 11.11.2020 (hokimiyat set-up)",https://lex.uz/docs/5187492,OFFICIAL,"Tashkentʼs 12th district. 4,419.6 ha at creation. Cadastre polygon in this dataset measures 44.22 km2, matching. Sergeli contributed 1,864.2 ha (12 mahallas in full + 6 in part per the act; gazeta.uz reported 13+6 - discrepancy unresolved)."
2020-09-08,mahalla,Toshkent,Toshkent,Zangiota (region),Yangihayot,transferred,"Legislative Chamber Res. No. 443-IV, 08.09.2020",https://lex.uz/docs/5187492,OFFICIAL,492.0 ha. Present as 1726292027.
2020-09-08,mahalla,Surum,NULL,Quyichirchiq (region),Yangihayot,transferred,"Res. No. 443-IV, 08.09.2020",https://lex.uz/docs/5187492,OFFICIAL,128.7 ha. Not found under this name in the current register - verify.
2020-09-08,mahalla,Chortoq,Chortoq,Yangiyoʻl (region),Yangihayot,transferred,"Res. No. 443-IV, 08.09.2020",https://lex.uz/docs/5187492,OFFICIAL,264.4 ha. Present as 1726292030.
2020-09-08,mahalla,"Alisher Navoiy, Bektemir, Jaloʻir, Nurafshon, Xoʻja-Uchqun (+ part of Gulzor)",NULL,Oʻrtachirchiq (region),Yangihayot,transferred,"Res. No. 443-IV, 08.09.2020",https://lex.uz/docs/5187492,OFFICIAL,"1,403.3 ha combined. Jaloir (1726292026) and Xoʻja Uchqun (1726292028) present in the current register."
2020-09-08,mahalla,Binokor,Binokor,Bektemir (city),Yangihayot,transferred,"Res. No. 443-IV, 08.09.2020",https://lex.uz/docs/5187492,OFFICIAL,267 ha - all of Bektemirʼs contribution. Present as 1726292024.
2021-08-27,city boundary,NULL,NULL,"Zangiota, Yuqorichirchiq, Oʻrtachirchiq, Qibray (region)","Sergeli, Bektemir, Mirzo Ulugʻbek, Yashnobod (city)",transferred,"Cabinet of Ministers Resolution No. 702, 19/20.11.2021 (implementing); underlying Legislative Chamber/Senate resolution NUMBER NOT FOUND",https://lex.uz/uz/docs/5735284,OFFICIAL (implementing act) + SECONDARY (parliamentary act),"City gained 7,853.3 ha and returned 171.3 ha. Sergeli +1,827.1; Bektemir +1,624.2; Mirzo Ulugʻbek +2,294.6; Yashnobod +2,107.4 ha. ~41-42 MFY and ~95,872 residents (23,249 families) moved into the city. THIS IS WHY pre-2021 published district areas are too small - use the cadastre areas in this dataset."
2021-10-05,mahalla,NULL,NULL,Toshkent viloyati,Toshkent shahri,transferred,Same episode as above,https://qalampir.uz/news/toshkent-viloyatida-ma%D2%B3allalar-soni-41-taga-kamaydi-47565,SECONDARY,"Region-side confirmation: Tashkent Region mahalla count fell 1,050 -> 1,009 as of 05.10.2021."
2023-11-24 .. 2024-10-23,mahalla (citywide),NULL,NULL,all 12,all 12,boundary_changed / created,"Series of Xalq deputatlari Toshkent shahar Kengashi decisions ""…mahallalarning aniq chegaralarini belgilash toʻgʻrisida"": VI-93-256-14-0-K/23 (24.11.2023), VI-99-35-14-0-K/24 (02.04.2024), VI-101-53-14-0-K/24 (30.04.2024), VI-103-90-14-0-K/24 (10.06.2024), VI-105-114-14-0-K/24 (31.07.2024), VI-107-144-14-0-K/24 (04.09.2024), VI-109-173-14-0-K/24 and VI-109-174-14-0-K/24 (23.10.2024)",https://uz.wikipedia.org/wiki/Toshkent_mahallalari,SECONDARY (decision numbers cited; individual texts not retrieved),"Raised the city total to 585 mahallas as of 25.10.2024. Per-district: Bektemir 12->18, Mirzo Ulugʻbek 54->70, Olmazor 58->64, Sergeli 39->46, Yashnobod 57->67, Yunusobod 63->64, Chilonzor 51->55; Mirobod 39, Uchtepa 60, Yakkasaroy 21, Shayxontohur 51 unchanged; Yangihayot 30. INDEPENDENTLY CONFIRMED: the Kadastr agentligi register returns exactly these counts."
2024-05-20,mahalla (nationwide),NULL,NULL,NULL,NULL,governance / registration mandate,"Cabinet of Ministers Resolution No. 294, 20.05.2024",https://lex.uz/docs/6931873,OFFICIAL,Tasked the Uzbekistan Mahalla Union with registering all mahallas nationally with precise boundaries within 3 months. Legal driver behind the 2023-2024 city boundary decisions and the current cadastre layer.
2023-11-11 .. present,district,NULL,Yangi Toshkent tumani,Yuqorichirchiq + Oʻrtachirchiq (region),proposed 13th district of Toshkent shahri,PROPOSED - NOT ENACTED,"Cabinet Res. No. 568, 27.10.2023 creates only the New Tashkent City Construction Directorate; a Legislative Chamber resolution was reported ~Nov-Dec 2023 but NOT verified on lex.uz",https://www.gazeta.uz/oz/2023/11/11/new-tashkent/,SECONDARY,"NOT a completed administrative change. Tashkent City official sources still list 12 districts, and the cadastre district layer returns exactly 12. Land continues to be granted incrementally to the Directorate (e.g. 122.3 ha on 2025-03-14). Treat as pipeline risk for any dataset refresh."
2026-02-16,mahalla (nationwide),NULL,NULL,NULL,NULL,national programme (not a boundary change),"Presidential Decree No. PF-22, 16.02.2026",https://lex.uz/docs/8050787,OFFICIAL,"2026 declared ""Mahallani rivojlantirish va jamiyatni yuksaltirish yili"". Raises the likelihood of further mahalla-level changes during 2026 - re-verify the register quarterly."
