SOURCE_ID,source_title,organization,source_type,publication_date,data_reference_date,URL,what_data_was_extracted,geographic_scope,official_or_secondary,confidence,comments
S01,Milliy geoaxborot portali - UZKAD/MAHALLA_UZKAD_DB16 FeatureServer,Kadastr agentligi / Davlat kadastr palatasi,Government GIS REST API,live service,2026-03-14 .. 2026-08-27,https://db.ngis.uz/db/rest/services/UZKAD/MAHALLA_UZKAD_DB16/FeatureServer/0,"402 official mahalla polygons for Tashkent City with cadastral_number, mahalla_name, district_name, soato_district",Tashkent City (national service),OFFICIAL,A,The single most important source in this dataset. Reached via the userʼs browser; blocked from the research container by egress policy.
S02,Milliy geoaxborot portali - Hosted/TUMAN_BORDER FeatureServer,Kadastr agentligi,Government GIS REST API,live service,current,https://db.ngis.uz/db/rest/services/Hosted/TUMAN_BORDER/FeatureServer/2,12 official Tashkent district polygons + prefix codes + st_area_sh,Uzbekistan,OFFICIAL,A,st_area_sh is a Web-Mercator area - inflated ~1.772x. Areas in this dataset were recomputed geodesically.
S03,Etirof open cadastre - neighborhoods register,Kadastr agentligi,Government JSON API,live service,2026-09-18,https://api-etirof.kadastr.uz/api/v1/commons/selects/neighborhoods,"Complete register of 585 Tashkent MFY names + 10-digit SOATO codes (9,473 nationwide)",Uzbekistan,OFFICIAL,A,Per-district counts independently match the 2023-2024 City Kengash decisions exactly.
S04,Etirof open cadastre - districts register,Kadastr agentligi,Government JSON API,live service,2026-09-18,https://api-etirof.kadastr.uz/api/v1/commons/selects/districts,SOATO codes for all 12 Tashkent districts,Uzbekistan,OFFICIAL,A,Resolved the SOATO gap that the stat.uz classifier PDFs could not.
S05,SIAT regional statistics module,Milliy statistika qoʻmitasi,Government JSON API,live,2026 Q1 (2026-01-01),https://hudud.stat.uz/api/v1/gis/regions/?parent__isnull=false&parent_soato=1726,Permanent population for all 12 Tashkent districts,Tashkent City,OFFICIAL,B,Portal displays a TEST MODE banner and states no licence. Quarterly series 2024Q1-2026Q1 available per district.
S06,Demografiya (Tashkent City statistical bulletin),Toshkent shahar statistika boshqarmasi,Government PDF,2025-10-27,2025-10-01,https://toshstat.uz/2025/Demografya/Demografiya.pdf,"Per-district population for all 12 districts; city total 3,164.0 thousand",Tashkent City,OFFICIAL,A,District figures sum exactly to the stated city total - internal consistency check passed.
S07,2026 aholi roʻyxatga olish - preliminary results,Milliy statistika qoʻmitasi,Government PDF (67 pp),2026-07-07,2026-01-15,https://aholi.stat.uz/images/07.07.2026/kitob-uzb_p76729.pdf,"Uzbekistan 39,047,321; Tashkent City 3,224,838 (100% urban)",Uzbekistan,OFFICIAL,A,First post-Soviet census. IMPORTANT: no tuman or mahalla breakdown published as of 2026-09-18.
S08,Cabinet of Ministers Resolution No. 48 of 04.03.2014,Vazirlar Mahkamasi,Legal act,2014-03-04,in force,https://www.lex.uz/uz/docs/-2349371,Legal definition of how mahalla boundaries are established (art. 26-30),Uzbekistan,OFFICIAL,A,Art. 27: boundary described textually by streets and landmarks. Art. 26: must also be drawn at 1:2000 for cities. Art. 28: the State Cadastral Chamber produces the drawing. This is why an official polygon layer exists at all.
S09,Decision No. 124/15-5 of 12.07.2016,Xalq deputatlari Toshkent shahar Kengashi,Legal act,2016-07-12,2016-07-12,https://lex.uz/ru/docs/3073794,Baseline: boundaries of the then 505 Tashkent mahallas,Tashkent City,OFFICIAL,A,Historical baseline; superseded by the 2023-2024 decisions.
S10,Decision No. 417/47-5 of 12.01.2019,Xalq deputatlari Toshkent shahar Kengashi,Legal act,2019-01-12,2019-06-04,https://lex.uz/docs/4427233,Mahalla split and two renames; city total 505 -> 508,Tashkent City,OFFICIAL,A,NULL
S11,Legislative Chamber Resolution No. 443-IV of 08.09.2020,Oliy Majlis Qonunchilik palatasi,Legal act,2020-09-08,2020-09-08,https://lex.uz/docs/5187492,Creation of Yangihayot tumani; list of transferred mahallas and hectares,Tashkent City / Region,OFFICIAL,A,The corresponding Senate resolution number could not be located on lex.uz.
S12,Cabinet of Ministers Resolution No. PQ-4888 of 11.11.2020,Vazirlar Mahkamasi,Legal act,2020-11-11,2020-11-12,https://lex.uz/docs/5094720,Establishment of the Yangihayot district hokimiyat,Tashkent City,OFFICIAL,A,NULL
S13,Cabinet of Ministers Resolution No. 702 of 19/20.11.2021,Vazirlar Mahkamasi,Legal act,2021-11-19,2021-08-27,https://lex.uz/uz/docs/5735284,"Implementation of the 2021 city/region boundary change (+7,853.3 / -171.3 ha)",Tashkent City / Region,OFFICIAL,A,Underlying parliamentary resolution number NOT FOUND despite extensive search.
S14,Cabinet of Ministers Resolution No. 294 of 20.05.2024,Vazirlar Mahkamasi,Legal act,2024-05-20,2024-05-20,https://lex.uz/docs/6931873,Mandate to register all mahallas nationally with precise boundaries,Uzbekistan,OFFICIAL,A,Legal driver behind the current cadastre mahalla layer.
