object_id,canonical_name,main_category,subcategory,district,address,phone,website,rating,reviews,canonical_lat,canonical_lng,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,osm_lat,osm_lng,google_place_id,yandex_object_id,dgis_object_id,osm_id,primary_source,source_url,source_count,coordinate_accuracy,data_confidence,operating_status,verification_status,geometry_type,admin_comment,data_collected_at
SEED000001,Saray,business_center,,Shaykhantakhur,"улица Фараби, 463, Tashkent",,,4.9,2,41.348931,69.17909,,,,,41.348931,69.17909,,,,,70000001040070114,,2GIS,https://2gis.uz/tashkent/firm/70000001040070114,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000002,"Seoul Plaza",business_center,,Mirabad,"Шахрисабзская улица, 5а, Tashkent",,,4.7,5,41.305414,69.283343,,,,,41.305414,69.283343,,,,,70000001059344569,,2GIS,https://2gis.uz/tashkent/firm/70000001059344569,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000003,IBC,business_center,,Yunusabad,"проспект Амира Темура, 107Б, Tashkent",,,5,2,41.336322,69.282408,,,,,41.336322,69.282408,,,,,70000001113282037,,2GIS,https://2gis.uz/tashkent/firm/70000001113282037,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000004,Orient,business_center,,Yunusabad,"Алайский базар тупик, 64, Tashkent",,,4.5,4,41.320618,69.283505,,,,,41.320618,69.283505,,,,,70000001050242711,,2GIS,https://2gis.uz/tashkent/firm/70000001050242711,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: gp","2026-07-19 00:15:46"
SEED000005,"Modera Towers",business_center,,Yakkasaray,"улица Шота Руставели, 19, Tashkent",,,2.3,1,41.292783,69.263615,,,,,41.292783,69.263615,,,,,70000001109884539,,2GIS,https://2gis.uz/tashkent/firm/70000001109884539,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000006,Diamond,business_center,,Yunusabad,"улица Абдуллы Кадыри, 39, Tashkent",,,4.9,1,41.321516,69.286544,,,,,41.321516,69.286544,,,,,70000001101908068,,2GIS,https://2gis.uz/tashkent/firm/70000001101908068,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000007,"Yunusabad Gallery",business_center,,Yunusabad,"Юнусабад 4-й квартал, 84, Tashkent",,,4.9,9,41.370403,69.275931,,,,,41.370403,69.275931,,,,,70000001101376084,,2GIS,https://2gis.uz/tashkent/firm/70000001101376084,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: gp","2026-07-19 00:15:46"
SEED000008,Kayan,business_center,,Yashnabad,"Махтумкули, 1, Tashkent",,,5,3,41.304509,69.306941,,,,,41.304509,69.306941,,,,,70000001102796138,,2GIS,https://2gis.uz/tashkent/firm/70000001102796138,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: gp","2026-07-19 00:15:46"
SEED000009,"Trilliant by Covex",business_center,,Mirzo-Ulugbek,"Шахрисабзская улица, 2, Tashkent",,,,,41.315878,69.28243,,,,,41.315878,69.28243,,,,,70000001105745404,,2GIS,https://2gis.uz/tashkent/firm/70000001105745404,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: gp","2026-07-19 00:15:46"
SEED000010,Central,business_center,,Yunusabad,"Осиё улица, 86а, Tashkent",,,4.8,3,41.328458,69.279907,,,,,41.328458,69.279907,,,,,70000001090600507,,2GIS,https://2gis.uz/tashkent/firm/70000001090600507,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000011,"Forum Business Center",business_center,,Yunusabad,"проспект Шарафа Рашидова, 16, Tashkent",,,,,41.317716,69.272246,,,,,41.317716,69.272246,,,,,70000001111522859,,2GIS,https://2gis.uz/tashkent/firm/70000001111522859,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000012,"Vega business center",business_center,,Yakkasaray,"улица Шота Руставели, 150, Tashkent",,,4.8,14,41.260011,69.223724,,,,,41.260011,69.223724,,,,,70000001038927257,,2GIS,https://2gis.uz/tashkent/firm/70000001038927257,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000013,"UzOman Square",business_center,,Yunusabad,"проспект Амира Темура, 88а, Tashkent",,,4.7,2,41.333788,69.284913,,,,,41.333788,69.284913,,,,,70000001037888448,,2GIS,https://2gis.uz/tashkent/firm/70000001037888448,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: Real Estate Investment LLC","2026-07-19 00:15:46"
SEED000014,Dmaar,business_center,,Mirabad,"улица Афрасиаб, 8а, Tashkent",,,4,5,41.299137,69.271408,,,,,41.299137,69.271408,,,,,70000001052962346,,2GIS,https://2gis.uz/tashkent/firm/70000001052962346,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: Afrosiyob Business Centre LLC","2026-07-19 00:15:46"
SEED000015,"Nest one by Covex",business_center,,Shaykhantakhur,"улица Батыра Закирова, 1/2, Tashkent",,,4.8,12,41.312064,69.25143,,,,,41.312064,69.25143,,,,,70000001039769060,,2GIS,https://2gis.uz/tashkent/firm/70000001039769060,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000016,"Falcom by Covex",business_center,,Mirabad,"Фидокор, 30, Tashkent",,,5,3,41.295714,69.274919,,,,,41.295714,69.274919,,,,,70000001096927011,,2GIS,https://2gis.uz/tashkent/firm/70000001096927011,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000017,Inkonel,business_center,,Mirzo-Ulugbek,"проспект Мустакиллик, 75, Tashkent",,,4.7,6,41.32098,69.300061,,,,,41.32098,69.300061,,,,,70000001038667807,,2GIS,https://2gis.uz/tashkent/firm/70000001038667807,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000018,"New Era",business_center,,Yakkasaray,"улица Шота Руставели, 44а, Tashkent",,,5,1,41.287444,69.25519,,,,,41.287444,69.25519,,,,,70000001109697524,,2GIS,https://2gis.uz/tashkent/firm/70000001109697524,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: gp","2026-07-19 00:15:46"
SEED000019,Dukat,business_center,,Mirabad,"улица Афрасиаб, 12Б, Tashkent",,,,,41.300027,69.271239,,,,,41.300027,69.271239,,,,,70000001036910315,,2GIS,https://2gis.uz/tashkent/firm/70000001036910315,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: gp","2026-07-19 00:15:46"
SEED000020,"Gross Plaza",business_center,,Mirabad,"улица Тараса Шевченко, 21а, Tashkent",,,4.8,15,41.297227,69.281701,,,,,41.297227,69.281701,,,,,70000001036548326,,2GIS,https://2gis.uz/tashkent/firm/70000001036548326,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: Zomin Estate Management LLC","2026-07-19 00:15:46"
SEED000021,Platform,business_center,,Mirabad,"улица Туркистон, 12а, Tashkent",,,5,4,41.291786,69.284125,,,,,41.291786,69.284125,,,,,70000001065103459,,2GIS,https://2gis.uz/tashkent/firm/70000001065103459,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: gp","2026-07-19 00:15:46"
SEED000022,"New level",business_center,,Mirabad,"улица Тараса Шевченко, 23, Tashkent",,,5,2,41.296125,69.282485,,,,,41.296125,69.282485,,,,,70000001036723009,,2GIS,https://2gis.uz/tashkent/firm/70000001036723009,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: Sion Group LLC","2026-07-19 00:15:46"
SEED000023,Neus,business_center,,Chilanzar,"Чиланзар 2-й квартал, 76, Tashkent",,,5,1,41.27527,69.223869,,,,,41.27527,69.223869,,,,,70000001060352410,,2GIS,https://2gis.uz/tashkent/firm/70000001060352410,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: Hope Power LLC","2026-07-19 00:15:46"
SEED000024,"Avalon Group",business_center,,Mirabad,"улица Айбека, 38а, Tashkent",,,4.9,1,41.291441,69.280374,,,,,41.291441,69.280374,,,,,70000001036816049,,2GIS,https://2gis.uz/tashkent/firm/70000001036816049,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: Renaissance Investment LLC","2026-07-19 00:15:46"
SEED000025,"UzOman tower",business_center,,Yunusabad,"проспект Амира Темура, 95а, Tashkent",,,4.8,3,41.332781,69.283758,,,,,41.332781,69.283758,,,,,70000001036721802,,2GIS,https://2gis.uz/tashkent/firm/70000001036721802,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000026,"Order plaza",business_center,,Yunusabad,"проспект Шарафа Рашидова, 69, Tashkent",,,,,41.334049,69.278174,,,,,41.334049,69.278174,,,,,70000001098819876,,2GIS,https://2gis.uz/tashkent/firm/70000001098819876,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: gp","2026-07-19 00:15:46"
SEED000027,"Solid Premium by Covex",business_center,,Yakkasaray,"Тафаккур, 68а, Tashkent",,,,,41.29224,69.257182,,,,,41.29224,69.257182,,,,,70000001102976569,,2GIS,https://2gis.uz/tashkent/firm/70000001102976569,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000028,Ideal,business_center,,Yakkasaray,"Нукусская улица, 46, Tashkent",,,5,1,41.281789,69.258145,,,,,41.281789,69.258145,,,,,70000001037098273,,2GIS,https://2gis.uz/tashkent/firm/70000001037098273,1,single,C,,auto_unverified,point,"class= rent=","2026-07-19 00:15:46"
SEED000029,Grand,business_center,,Yakkasaray,"улица Шота Руставели, 12а, Tashkent",,,4.7,8,41.294212,69.264983,,,,,41.294212,69.264983,,,,,70000001036752033,,2GIS,https://2gis.uz/tashkent/firm/70000001036752033,1,single,C,,auto_unverified,point,"class= rent= GoldenPages: Grand Inter Building LLC","2026-07-19 00:15:46"
