canonical_name,main_category,subcategory,district,address,phone,website,rating,reviews,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,google_url,yandex_url,dgis_url,primary_source,operating_status,admin_comment
Master Coffee,cafes,coffee shop,Mirabad,"27/7, ul. Mirabad",+998 70 019 61 61,,4.9,76,41.296572,69.270422,41.296520,69.270170,41.296645,69.270430,https://www.google.com/maps/place/Master+Coffee,https://yandex.uz/maps/org/master_coffee/129003137267/,https://2gis.uz/tashkent/search/Master%20Coffee%20Mirabad%2027,google,,"All 3 sources agree; Mirabad core"
Coffee Nation,cafes,coffee shop,Mirabad,"Afrosiab 14/1",+998 99 222 50 49,,4.7,121,41.299079,69.270684,41.299088,69.270692,41.298971,69.270527,https://www.google.com/maps/place/Coffee+Nation,https://yandex.uz/maps/org/coffee_nation/179400818552/,https://2gis.uz/tashkent/search/Coffee%20Nation%20Afrosiab%2014,google,,"All 3 agree; Mirabad core"
Bon!,cafes,coffee shop,Mirabad,"ul. Fidokor 40",+998 78 150 18 34,abnmbgroup.com,4.6,1213,,,41.295039,69.271543,41.295031,69.271662,https://www.google.com/maps/search/Bon+Fidokor+40,https://yandex.uz/maps/org/bon_/62047701008/,https://2gis.uz/tashkent/search/Bon%20Fidokor%2040,yandex,,"Flagship of large chain; Yandex confirms Mirabad; Google exact coords not captured; ratings vary by source"
Shavi Coffee Roasters,cafes,coffee shop,Mirabad,"Buxoro ko'chasi 26 / Buyuk Turon 41",+998 50 115 46 57,,4.8,65,41.310486,69.269945,41.310534,69.269942,41.311009,69.270118,https://www.google.com/maps/place/Shavi+Coffee+Roasters,https://yandex.uz/maps/org/shavi_coffee_roasters/32347193136/,https://2gis.uz/tashkent/search/Shavi%20Coffee%20Roasters%20Buxoro%2026,google,,"BORDER: northern edge near TSUM (Mirabad/Shaykhantakhur)"
Socials,cafes,coffee shop,Mirabad,"Taras Shevchenko ko'chasi 36a",,,4.6,225,,,,,41.297424,69.280131,,,https://2gis.uz/tashkent/search/Socials%20Taras%20Shevchenko,dgis,,"2GIS Mirabad core (Taras Shevchenko); 4 branches; only 2GIS coord captured"
Patriki,cafes,coffee shop,Mirabad,"Taras Shevchenko ko'chasi 8",,,4.3,28,,,,,41.304967,69.274467,,,https://2gis.uz/tashkent/search/Patriki%20Taras%20Shevchenko,dgis,,"2GIS confirms Mirabad; 3 branches; northern part of Taras Shevchenko"
B&B Coffee House,cafes,coffee shop,Mirabad,"Fidokor 21/2",,,4.0,85,,,,,41.294797,69.271708,,,https://2gis.uz/tashkent/search/B%26B%20Coffee%20House%20Fidokor,dgis,,"2GIS Mirabad core; 8 branches"
Costa Coffee,cafes,coffee shop,Mirabad,"Taras Shevchenko ko'chasi 21/2",,,4.7,46,,,,,41.297825,69.280362,,,https://2gis.uz/tashkent/search/Costa%20Coffee%20Taras%20Shevchenko,dgis,,"2GIS Mirabad core; 7 branches; Lucnhaya kofeynya 2026"
Organic food,cafes,coffee shop,Mirabad,"Yakub Kolas ko'chasi 4",,,,,,,,,41.304385,69.269318,,,https://2gis.uz/tashkent/search/Organic%20food%20Yakub%20Kolas,dgis,,"2GIS Mirabad; gluten-free cafe/boutique; northern edge"
Rassvet,cafes,coffee shop,Mirabad,"Chimkentskaya 17 / Taras Shevchenko 30a",,,4.4,44,,,,,41.305528,69.272786,,,https://2gis.uz/tashkent/search/Rassvet%20Taras%20Shevchenko,dgis,,"2GIS Mirabad; northern edge"
