canonical_name,main_category,subcategory,district,address,phone,website,rating,reviews,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,google_url,yandex_url,dgis_url,primary_source,operating_status,admin_comment
Maurice,restaurants,casual dining,Mirabad,"ул. Мирабад, 12",,,,,,,41.297819,69.267785,,,,https://yandex.uz/maps/org/maurice/168253529726/,,yandex,,"Yandex classifies as кафе; matches client DB Yandex coords exactly"
TKH Restaurant,restaurants,casual dining,Mirabad,"ул. Мирабад, 64А",,,4.3,231,41.291899,69.270652,41.291945,69.270591,,,https://www.google.com/maps/place/TKH+Restaurant,https://yandex.uz/maps/org/240565092003/,,google,,"Georgian; Yandex lists address as Катта Миробод 69 — same block, verify house no."
Сорренто,restaurants,casual dining,Mirabad,"ул. Мирабад, 64А",,,4.7,144,41.291966,69.270783,41.291987,69.270706,,,https://www.google.com/maps/place/Сорренто,https://yandex.uz/maps/org/sorrento/84587953949/,,google,,"Italian; same building as TKH"
Istanbul Restaurant,restaurants,casual dining,Mirabad,"ул. Мирабад, 35",,,,,,,41.293931,69.270888,,,,https://yandex.uz/maps/org/5177751444/,,yandex,,"Turkish; client DB coords (41.298/69.279) rounded & ~800m off — use Yandex point"
Bamonti by Olivo,restaurants,casual dining,Mirabad,"ул. Мирабад, 39Б",,,4.5,258,41.291582,69.273012,41.291664,69.273164,,,https://www.google.com/maps/place/Bamonti+by+Olivo,https://yandex.uz/maps/org/187828784571/,,google,,"G/Y points 40m apart — resolves client DB 1.5km flag (was a mismatch, not a branch)"
Stylo Restaurant & Lounge,restaurants,casual dining,Mirabad,"1-й проезд Катта Мирабад, 16/5",,,4.9,27,41.290297,69.272675,41.290299,69.272487,,,https://www.google.com/maps/place/Stylo+Restaurant+%26+Lounge,https://yandex.uz/maps/org/76601915316/,,google,,"Yandex address prefix confirms Мирабадский район"
Yalpiz,restaurants,casual dining,Mirabad,"ул. Мирабад, 1/1",,,,,,,41.302113,69.266892,,,,https://yandex.uz/maps/org/yalpiz/32603585869/,,yandex,,"National cuisine; client DB shows Мирабад 5 @41.298/69.278 — Yandex org card says 1/1, ~600m north; re-verify"
Diyar,restaurants,casual dining,Mirabad,"ул. Фидокор, 42",,,,,,,41.294879,69.270951,,,,https://yandex.uz/maps/org/187828784571/,,yandex,,"National cuisine; Мирабадский prefix confirmed; Yandex reviews 276"
Ди Гави,restaurants,casual dining,Mirabad,"ул. Шахрисабз, 16А",,,,,,,41.298941,69.274535,,,,https://yandex.uz/maps/org/149263143937/,,yandex,,"Мирабадский prefix confirmed; Yandex reviews 388"
Kaif Experience,restaurants,casual dining,Mirabad,"ул. Тараса Шевченко, 40",,,4.9,102,41.296251,69.281535,41.296276,69.281477,,,https://www.google.com/maps/place/Kaif,https://yandex.uz/maps/org/kaif_experience/176968459470/,,google,,"G lists 40А, Y lists 40 — same site"
Afsona Shevchenko,restaurants,casual dining,Mirabad,"ул. Тараса Шевченко, 28",,,4.3,1058,41.299865,69.277275,41.299558,69.277608,,,https://www.google.com/maps/place/Afsona+Shevchenko,https://yandex.uz/maps/org/afsona/188280923596/,,google,,"National cuisine; Yandex house no. 30 vs Google 28 — verify"
TomYumBar,restaurants,casual dining,Mirabad,"ул. Тараса Шевченко, 21А",,,,,,,41.297087,69.281697,,,,https://yandex.uz/maps/org/156594463011/,,yandex,,"Thai; client DB Google data (4.5/327) consistent with this org"
Tanuki,restaurants,casual dining,Mirabad,"ул. Тараса Шевченко, 21А",,,4.5,359,41.297035,69.281659,,,,,https://www.google.com/maps/place/Tanuki,,,google,,"Japanese chain; same address block as TomYumBar"
Южанин,restaurants,casual dining,Mirabad,"ул. Туркистан, 12А",,,,,,,41.291732,69.283516,,,,https://yandex.uz/maps/org/230179686033/,,yandex,,"Мирабадский prefix confirmed; Туркистан 12А food cluster (3 venues)"
Юнга,restaurants,casual dining,Mirabad,"ул. Туркистан, 12А",,,,,,,41.291634,69.283742,,,,https://yandex.uz/maps/org/223037159306/,,yandex,,"Мирабадский prefix confirmed; Yandex reviews 354"
Koryoin by Miso,restaurants,casual dining,Mirabad,"ул. Туркистан, 12А",,,,,,,41.291792,69.284517,,,,https://yandex.uz/maps/org/99885781654/,,yandex,,"Korean; Мирабадский prefix confirmed; Yandex reviews 421"
