object_id,canonical_name,name_ru,name_uz,name_en,alternative_names,main_category,subcategory,detailed_type,cuisine_primary,cuisine_tags,alcohol_status,alcohol_types,alcohol_verification,alcohol_source_url,country,region,city,district,mahalla,address,latitude,longitude,coordinate_precision_dp,coordinate_source,coordinate_status,geometry_type,provider_object_id,google_place_id,yandex_object_id,2gis_object_id,osm_id,phone,email,website,instagram,telegram,working_hours,rating,reviews_count,operating_status,development_status,opening_year,class,rent_usd_sqm_month,primary_source,source_url,additional_sources,source_count,data_collected_at,last_online_check,last_manual_update,last_field_check,verification_status,data_confidence,verified_by,possible_duplicate,duplicate_group_id,admin_comment,seed_object_id,seed_primary_source,seed_source_url,seed_verification_status,seed_coordinate_accuracy,seed_data_confidence,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,osm_lat,osm_lng,google_url,yandex_url,dgis_url
BC-75e17f93c6aa,Chilonzor,Chilonzor,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Chilanzar,,"Чиланзар 1-й квартал, 6, Tashkent",41.286805,69.228145,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000052,2GIS,https://2gis.uz/tashkent/firm/70000001062690655,auto_unverified,single,C,,,,,41.286805,69.228145,,,,,
BC-9513135e0816,Korea Uzbekistan Business Centre,Korea Uzbekistan Business Centre,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Chilanzar,,Tashkent,41.300384,69.247262,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000058,2GIS,https://2gis.uz/tashkent/firm/70000001098698555,auto_unverified,single,C,,,,,41.300384,69.247262,,,,,
BC-b8920b33d63d,Navroz,Navroz,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Chilanzar,,"Бунёдкор проспект, 7г, Tashkent",41.296034,69.228922,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000094,2GIS,https://2gis.uz/tashkent/firm/70000001097567484,auto_unverified,single,C,,,,,41.296034,69.228922,,,,,
BC-e04ea13f8775,Neus,Neus,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Chilanzar,,"Чиланзар 2-й квартал, 76, Tashkent",41.27527,69.223869,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000023,2GIS,https://2gis.uz/tashkent/firm/70000001060352410,auto_unverified,single,C,,,,,41.27527,69.223869,,,,,
BC-015230cd153e,Texnika loyiha,Texnika loyiha,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Chilanzar,,"Катартал, 25/1, Tashkent",41.294932,69.215525,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000062,2GIS,https://2gis.uz/tashkent/firm/70000001101107406,auto_unverified,single,C,,,,,41.294932,69.215525,,,,,
BC-f0e32c5edadf,Afrosiab,Afrosiab,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Mirabad,,"улица Афрасиаб, 14, Tashkent",41.299497,69.271803,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000043,2GIS,https://2gis.uz/tashkent/firm/70000001093365977,auto_unverified,single,C,,,,,41.299497,69.271803,,,,,
BC-72096128f739,Arash,Arash,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Mirabad,,"Саида Барака, 34, Tashkent",41.301706,69.288536,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000038,2GIS,https://2gis.uz/tashkent/firm/70000001036531446,auto_unverified,single,C,,,,,41.301706,69.288536,,,,,
BC-00244b1566dc,Asrtec,Asrtec,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Mirabad,,"улица Афрасиаб, 4Б, Tashkent",41.301795,69.269325,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000050,2GIS,https://2gis.uz/tashkent/firm/70000001040507777,auto_unverified,single,C,,,,,41.301795,69.269325,,,,,
BC-99a106dce3c3,Atrium,Atrium,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Mirabad,,"улица Айбека, 18/1, Tashkent",41.296325,69.27491,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000077,2GIS,https://2gis.uz/tashkent/firm/70000001038747273,auto_unverified,single,C,,,,,41.296325,69.27491,,,,,
BC-933bb1927193,Avalon Group,Avalon Group,,,,Офисы и бизнес,Бизнес-центр,Офисное здание / бизнес-центр,,,,,,,Uzbekistan,Tashkent City,Tashkent,Mirabad,,"улица Айбека, 38а, Tashkent",41.291441,69.280374,6,2GIS,Точка источника; не подтверждена полевым осмотром,Point,,,,,,,,,,,,,,,,,,,2GIS,,,1,2026-07-19,2026-07-19,,,Проверено онлайн по источнику; ручная верификация не выполнена,B,,,,"Уточнить адрес, GBA/GLA, этажность, vacancy, парковку, арендаторов и дату ввода.",SEED000024,2GIS,https://2gis.uz/tashkent/firm/70000001036816049,auto_unverified,single,C,,,,,41.291441,69.280374,,,,,
