grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-00751,41.22696,69.10515,912,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00753,41.21151,69.10869,1028,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00755,41.21999,69.11286,261,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00756,41.21848,69.10097,863,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00762,41.18061,69.11575,1393,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00763,41.1906,69.13181,1129,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00764,41.18909,69.11993,1638,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00767,41.18363,69.13952,1380,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00768,41.18212,69.12764,760,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00775,41.20454,69.1164,989,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00776,41.21452,69.13246,702,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00777,41.21302,69.12057,691,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00778,41.19907,69.13599,1438,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00779,41.19757,69.12411,1104,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00780,41.20755,69.14017,620,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00781,41.20605,69.12828,1246,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00782,41.20303,69.10451,1142,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00784,41.18758,69.10804,1033,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00786,41.19606,69.11222,1084,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00787,41.19455,69.10033,218,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01236,41.35962,69.1483,815,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01237,41.36961,69.16441,886,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01238,41.3681,69.15249,874,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01239,41.35415,69.16794,962,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01240,41.35265,69.15602,1709,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01241,41.36263,69.17214,1699,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01242,41.36113,69.16022,1005,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01243,41.39505,69.17701,833,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01244,41.40503,69.19314,1995,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
