grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-00001,40.63328,70.69818,21,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00002,40.57039,70.63224,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00003,40.58015,70.6484,117,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00004,40.5788,70.63659,22,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00005,40.57174,70.64405,39,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00006,40.55222,70.61174,46,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00007,40.56063,70.61609,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00008,40.56737,70.67512,25,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00009,40.56602,70.66331,363,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00010,40.5519,70.67822,21,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00011,40.55896,70.67077,651,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00012,40.55522,70.56887,49,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00013,40.55821,70.52599,41,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00014,40.55251,70.54526,60,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00015,40.58855,70.65275,78,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00016,40.59696,70.65711,57,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00017,40.62353,70.682,47,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00018,40.61243,70.654,53,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00019,40.62084,70.65836,57,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00020,40.60099,70.69255,131,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00021,40.5899,70.66456,146,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00022,40.6094,70.69691,81,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00023,40.59965,70.68074,25,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00024,40.59292,70.62167,21,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00025,40.58586,70.62913,78,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00026,40.6168,70.62291,71,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00027,41.17608,70.32017,398,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00028,41.16902,70.32774,352,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00029,41.16764,70.31582,23,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00030,41.19018,70.30502,43,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00031,41.18451,70.32452,63,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00032,41.18313,70.3126,144,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00033,41.19295,70.32887,21,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00034,41.16335,70.34722,220,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00035,41.14787,70.35043,170,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00036,41.1563,70.35479,324,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00037,41.15492,70.34287,203,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00038,41.17746,70.33209,91,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00039,41.17041,70.33965,279,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00040,41.17884,70.34401,55,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00041,41.24356,70.355,51,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00042,41.13632,70.45651,92,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00043,41.12926,70.46406,160,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00044,41.16161,70.46961,96,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00045,41.17004,70.47398,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00046,41.15455,70.47716,43,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00047,41.15044,70.4414,93,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00048,41.16024,70.45769,111,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00049,41.15887,70.44577,181,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
