issue_id,issue_type,duplicate_group_id,object_id_1,object_id_2,distance_m,details,status
QI-ad17c84eaf49,Неполная карточка бизнес-центра,,BC-75e17f93c6aa,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-b4e12442eb3e,Неполная карточка бизнес-центра,,BC-9513135e0816,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-b23673a1d7c1,Неполная карточка бизнес-центра,,BC-b8920b33d63d,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-32e8f7510349,Неполная карточка бизнес-центра,,BC-e04ea13f8775,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-ae18629df83a,Неполная карточка бизнес-центра,,BC-015230cd153e,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-aac67da8a407,Неполная карточка бизнес-центра,,BC-f0e32c5edadf,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-7b46dffcaf0f,Неполная карточка бизнес-центра,,BC-72096128f739,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-18edb18c0fad,Неполная карточка бизнес-центра,,BC-00244b1566dc,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-dadf731b3e5f,Неполная карточка бизнес-центра,,BC-99a106dce3c3,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-96ade3a1e283,Неполная карточка бизнес-центра,,BC-933bb1927193,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-018290a1180d,Неполная карточка бизнес-центра,,BC-9ab7bfe220cd,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-0c2085ea4831,Неполная карточка бизнес-центра,,BC-dcd1dffa2deb,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-6b244490ff17,Неполная карточка бизнес-центра,,BC-b3b4ae7db51e,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-55f810f2ce78,Неполная карточка бизнес-центра,,BC-54dd18808faa,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-6a00e4f35634,Неполная карточка бизнес-центра,,BC-ab375ddbbb27,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-3cd2f5e137e5,Неполная карточка бизнес-центра,,BC-c163fd1fa598,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f6cb257c4bcc,Неполная карточка бизнес-центра,,BC-f1fa83bd7153,,,"address, website",Открыто
QI-9cf63908543e,Неполная карточка бизнес-центра,,BC-a5b4d6d46e11,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-ae0ede1b40d7,Неполная карточка бизнес-центра,,BC-cb4e2a8bae68,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-987f65970ae3,Неполная карточка бизнес-центра,,BC-821ba5cac5f1,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-103b3d394314,Неполная карточка бизнес-центра,,BC-77f16dd30b38,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-8815b15d4d7b,Неполная карточка бизнес-центра,,BC-170199af1fd1,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-ec8a307a40c3,Неполная карточка бизнес-центра,,BC-199f7aaa72b3,,,"address, website",Открыто
QI-9b6c807b1d10,Неполная карточка бизнес-центра,,BC-a8b2e0250529,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-9bc53f09590a,Неполная карточка бизнес-центра,,BC-74fbf60c0089,,,"address, website",Открыто
QI-693951914f2a,Неполная карточка бизнес-центра,,BC-d8b8e7c7b1e3,,,"address, website",Открыто
QI-311a9112c6ae,Неполная карточка бизнес-центра,,BC-3f8239b95b05,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-5e589198ff8f,Неполная карточка бизнес-центра,,BC-954deb124506,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-2fb919684b12,Неполная карточка бизнес-центра,,BC-7af581c54a73,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-94acc2de1d83,Неполная карточка бизнес-центра,,BC-4943fec51b8f,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-04a05eadaa1d,Неполная карточка бизнес-центра,,BC-d80a02310a65,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-a3659ab95b9d,Неполная карточка бизнес-центра,,BC-87f9042d2746,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-d9a42ccac247,Неполная карточка бизнес-центра,,BC-9dc52f1aea6b,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-79cabf679031,Неполная карточка бизнес-центра,,BC-339e42546788,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-79093163ccbf,Неполная карточка бизнес-центра,,BC-085f3a727820,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-efbc678f8eb1,Неполная карточка бизнес-центра,,BC-1293c67c6d00,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-b221aa149b8f,Неполная карточка бизнес-центра,,BC-9c3506ca7399,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-8121d734f427,Неполная карточка бизнес-центра,,BC-3d36a8444d52,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-e2675ebdc204,Неполная карточка бизнес-центра,,BC-1579e1253d93,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-3433d1822ee3,Неполная карточка бизнес-центра,,BC-c96fdc4c861f,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-431132d381ff,Неполная карточка бизнес-центра,,BC-f5032addcc87,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-4fe93a8b1196,Неполная карточка бизнес-центра,,BC-cf96c34629d1,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-b8b82614b23d,Неполная карточка бизнес-центра,,BC-51b393ab9423,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-2f258d9334d9,Неполная карточка бизнес-центра,,BC-eafe8b7910a0,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-61d31a59d2f8,Неполная карточка бизнес-центра,,BC-4c70fbbe86dc,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-5b3dc27f25cd,Неполная карточка бизнес-центра,,BC-82f0eb0b80b7,,,"address, website",Открыто
QI-134c393ffb6c,Неполная карточка бизнес-центра,,BC-dce6b02a4089,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-1b04053854e5,Неполная карточка бизнес-центра,,BC-70b360f74812,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-94912046a055,Неполная карточка бизнес-центра,,BC-0a6e031a360b,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f3dab3890c20,Неполная карточка бизнес-центра,,BC-08be49c5c8e3,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-e9c04c27ccb7,Неполная карточка бизнес-центра,,BC-53aab9567230,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-fa1c249ecda4,Неполная карточка бизнес-центра,,BC-9f9672b4fe60,,,"address, website",Открыто
QI-7238810aec4c,Неполная карточка бизнес-центра,,BC-3b93431cc952,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-ce2d20ddd4c0,Неполная карточка бизнес-центра,,BC-cabccc170bf9,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-d698676d5b49,Неполная карточка бизнес-центра,,BC-b9ff2ce274de,,,"class, rent_usd_sqm_month, address, website",Открыто
