object_id,canonical_name,main_category,subcategory,district,address,phone,website,rating,reviews,canonical_lat,canonical_lng,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,osm_lat,osm_lng,google_place_id,yandex_object_id,dgis_object_id,osm_id,primary_source,source_url,source_count,coordinate_accuracy,data_confidence,operating_status,verification_status,geometry_type,admin_comment,data_collected_at
SEED000068,Trilliant by Covex,business_center,,Mirzo-Ulugbek,"Шахрисабзская улица, 2/1, Tashkent",,,,,41.315899,69.282055,,,,,41.315899,69.282055,,,,,70000001105745384,,2GIS,https://2gis.uz/tashkent/firm/70000001105745384,1,single,C,,auto_unverified,point,class= rent=,2026-07-18 19:33:49
SEED000128,TARAKKIYOT,mahallas,махалля,Olmazor,"100069, Tashkent, Almazar district, Karasarayskaya Street, 333",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43517,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000129,ACHAOBOD,mahallas,махалля,Olmazor,"100002, Tashkent, Almazar district, Sagban Street, 227",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43518,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000130,BARATHUJA,mahallas,махалля,Mirabad,"100080, Tashkent, Mirabad district, 1st Kuylyuk Ota pass., 46A",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43520,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000131,INOKOBOD,mahallas,махалля,Mirabad,"100105, Tashkent, Mirabad district, 8th March Street, 57",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43523,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000132,BEKOBOD,mahallas,махалля,Uchtepa,"100132, Tashkent, Uchtepa district, Mekhmondust Street, 26",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43524,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000133,BELTEPA,mahallas,махалля,Shaykhantakhur,"100174, Tashkent, Shaykhontokhur district, Farobi Street, 9",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43526,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000134,ORZU,mahallas,махалля,Olmazor,"100174, Tashkent, Almazar district, Beruni square, 2",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43527,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000135,BESHKAPA,mahallas,махалля,Mirzo-Ulugbek,"100142, Tashkent, Mirzo Ulugbek district, Kaltatoy Street, Ahmad Yugnaki block of flats, 10A",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43531,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000136,BILIMDON,mahallas,махалля,Mirabad,"100080, Tashkent, Mirabad district, Yangi Kuylyuk Street, 1B",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43532,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000137,BIRODARLIK,mahallas,махалля,Mirabad,"100167, Tashkent, Mirabad district, Dashnabad Street, 8A",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43533,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000138,BOBUR,mahallas,махалля,Yakkasaray,"100022, Tashkent, Yakkasaray district, Babur Street, 71B",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43534,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000139,LOLAZOR,mahallas,махалля,Mirabad,"100015, Tashkent, Mirabad district, Mirabad Street, 27/7",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43536,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000140,BOGKUCHA,mahallas,махалля,Shaykhantakhur,"100020, Tashkent, Shaykhontokhur district, Bogkucha block of flats, Beruni avenue, 2A",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43537,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000141,BOG'OBOD,mahallas,махалля,Uchtepa,"100173, Tashkent, Uchtepa district, Chilanzar-15 block, 28A",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43538,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000142,OLMACHI,mahallas,махалля,Mirzo-Ulugbek,"100077, Tashkent, Mirzo Ulugbek district, Mukhammad Yusuf Street, 42",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43541,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000143,BURIJAR,mahallas,махалля,Chilanzar,"100156, Tashkent, Chilanzar district, Chilanzar-20A block, Eski Katartal Street, 1",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43542,1,single,C,,auto_online,point,,2026-07-18 19:33:49
SEED000144,BEKTUPI,mahallas,махалля,Chilanzar,"100208, Tashkent, Chilanzar district, Kavunchi Street, Al-Khorezmi-1 block of flats, 1",,,,,0,0,,,,,,,,,,,,,GoldenPages,https://www.goldenpages.uz/en/company/?Id=43543,1,single,C,,auto_online,point,,2026-07-18 19:33:49
